generation,loci1,loci2,ld
0,0,1,7.49943e-05
0,0,2,0.000247601
0,0,3,6.17865e-05
0,0,4,0.000349012
0,0,5,0.000187305
0,0,6,0.000163637
0,0,7,0.000391325
0,0,8,6.95721e-05
0,0,9,0.00038405
0,0,10,9.14417e-05
0,0,11,0
0,0,12,0.000430822
0,0,13,0.000195053
0,0,14,9.03221e-05
0,0,15,0.000129562
0,0,16,0.000111595
0,0,17,0.000282002
0,0,18,0.000338462
0,0,19,0.000197036
0,0,20,0.000379037
0,0,21,0.000176525
0,0,22,0.000107511
0,0,23,0
0,0,24,6.63214e-05
0,0,25,0.000255824
0,0,26,0.000164608
0,0,27,6.34687e-05
0,0,28,0.000236086
0,0,29,0.000141968
0,0,30,9.36824e-05
0,0,31,0.00014943
0,0,32,0.000203628
0,0,33,0.000221349
0,0,34,0
0,0,35,0.000223359
0,0,36,0.000100757
0,0,37,0.000188222
0,0,38,0.000176985
0,0,39,9.30432e-05
0,0,40,0.00021902
0,0,41,8.15571e-05
0,0,42,9.03049e-05
0,0,43,0.000125269
0,0,44,0.000211387
0,0,45,2.0118e-05
0,0,46,0.000112436
0,0,47,8.61469e-05
0,0,48,0.000207791
0,0,49,0.000337189
0,0,50,0.000347839
0,0,51,0
0,0,52,0.000134799
0,0,53,0.000226021
0,0,54,7.05886e-05
0,0,55,0.000450237
0,0,56,0.000385424
0,0,57,0.000241846
0,0,58,0.000260681
0,0,59,0.000246268
0,1,2,0.000327289
0,1,3,0.000626951
0,1,4,0.000269845
0,1,5,0.000150177
0,1,6,0.000374774
0,1,7,0.000294303
0,1,8,0.000108292
0,1,9,0.000483394
0,1,10,0.000152082
0,1,11,0
0,1,12,0.000345076
0,1,13,0.000276177
0,1,14,0.000352701
0,1,15,0.000185722
0,1,16,0.000233201
0,1,17,0.000177687
0,1,18,0.000254939
0,1,19,0.000211281
0,1,20,0.000273234
0,1,21,0.000216996
0,1,22,0.000218175
0,1,23,0
0,1,24,0.000181101
0,1,25,0.000180848
0,1,26,0.000213989
0,1,27,0.000204343
0,1,28,0.000134369
0,1,29,0.000436343
0,1,30,0.000178264
0,1,31,7.08568e-05
0,1,32,0.000288148
0,1,33,0.00019375
0,1,34,0
0,1,35,0.000286006
0,1,36,2.84951e-05
0,1,37,0.000181931
0,1,38,0.000237009
0,1,39,0.000237429
0,1,40,0.000252535
0,1,41,0.000265929
0,1,42,0.000231496
0,1,43,0.000150791
0,1,44,0.000175412
0,1,45,0.000247382
0,1,46,0.000230401
0,1,47,0.00019361
0,1,48,0.000190471
0,1,49,0.000115069
0,1,50,0.000186263
0,1,51,0
0,1,52,0.000188694
0,1,53,0.000121463
0,1,54,0.000404712
0,1,55,0.000226177
0,1,56,0.000185229
0,1,57,0.000180714
0,1,58,0.000121167
0,1,59,0.000113483
0,2,3,0.00025442
0,2,4,0.000269416
0,2,5,0.000198677
0,2,6,0.000248214
0,2,7,0.000194285
0,2,8,0.000166035
0,2,9,0.000187231
0,2,10,0.000195131
0,2,11,0
0,2,12,0.000228106
0,2,13,0.000208983
0,2,14,0.000172431
0,2,15,0.000428948
0,2,16,0.000206919
0,2,17,0.000237351
0,2,18,0.000215786
0,2,19,0.000196189
0,2,20,0.000183348
0,2,21,0.000155572
0,2,22,0.000183419
0,2,23,0
0,2,24,0.000200331
0,2,25,0.00024797
0,2,26,0.000248348
0,2,27,0.000190138
0,2,28,0.000263605
0,2,29,0.000190368
0,2,30,0.000227432
0,2,31,0.000281649
0,2,32,0.000249035
0,2,33,0.000185097
0,2,34,0
0,2,35,0.000285017
0,2,36,0.000326804
0,2,37,0.000195998
0,2,38,0.00021808
0,2,39,0.000175413
0,2,40,0.00014489
0,2,41,0.000235989
0,2,42,0.000103042
0,2,43,0.000248115
0,2,44,0.00020585
0,2,45,9.97547e-05
0,2,46,0.000219167
0,2,47,0.000178783
0,2,48,0.000184063
0,2,49,0.000196814
0,2,50,0.000144039
0,2,51,0
0,2,52,0.000213345
0,2,53,0.000153839
0,2,54,0.0002252
0,2,55,0.000138005
0,2,56,0.00019273
0,2,57,0.000164186
0,2,58,0.00021815
0,2,59,8.41664e-05
0,3,4,0.000405142
0,3,5,0.000337476
0,3,6,0.000303178
0,3,7,0.000170256
0,3,8,0.000586653
0,3,9,0.000375452
0,3,10,0.000432426
0,3,11,0
0,3,12,4.76567e-05
0,3,13,0.000135744
0,3,14,0.000409878
0,3,15,0.000146837
0,3,16,0.000232491
0,3,17,0.000459673
0,3,18,0.000174704
0,3,19,0.000350865
0,3,20,0.00029187
0,3,21,0.000141778
0,3,22,0.00010838
0,3,23,0
0,3,24,0.000335514
0,3,25,0.000234964
0,3,26,0.000196232
0,3,27,0.000244036
0,3,28,0.000109791
0,3,29,0.000187355
0,3,30,0.000246821
0,3,31,0.000203533
0,3,32,0.000172683
0,3,33,0.000197963
0,3,34,0
0,3,35,0.000215419
0,3,36,0.000192102
0,3,37,3.48599e-05
0,3,38,0.000296587
0,3,39,0.000133124
0,3,40,0.000131278
0,3,41,0.00011307
0,3,42,0.000106575
0,3,43,0.000157733
0,3,44,0.00018581
0,3,45,0.000121011
0,3,46,0.000223684
0,3,47,0.000202361
0,3,48,6.58434e-05
0,3,49,0.000158288
0,3,50,0.000125326
0,3,51,0
0,3,52,0.000133971
0,3,53,0.00045726
0,3,54,5.31697e-05
0,3,55,0.000581697
0,3,56,0.000107897
0,3,57,0.000152865
0,3,58,0.000106124
0,3,59,1.93012e-05
0,4,5,0.00023381
0,4,6,0.000307132
0,4,7,0.000352078
0,4,8,0.000257256
0,4,9,0.000319979
0,4,10,0.000148724
0,4,11,0
0,4,12,0.000247055
0,4,13,0.000159471
0,4,14,0.000311795
0,4,15,0.00032704
0,4,16,0.000236462
0,4,17,0.000260046
0,4,18,0.000225155
0,4,19,0.000223184
0,4,20,0.000228104
0,4,21,0.000180136
0,4,22,0.000179075
0,4,23,0
0,4,24,0.000198397
0,4,25,0.000205201
0,4,26,0.000230083
0,4,27,0.000340598
0,4,28,0.000180577
0,4,29,0.000104854
0,4,30,0.000232726
0,4,31,0.000164746
0,4,32,0.000261139
0,4,33,0.000234773
0,4,34,0
0,4,35,0.00018083
0,4,36,0.000197484
0,4,37,0.000216421
0,4,38,0.000201814
0,4,39,0.000115811
0,4,40,0.000210878
0,4,41,0.000271423
0,4,42,0.000154134
0,4,43,0.000138401
0,4,44,0.00024369
0,4,45,0.000152179
0,4,46,0.000197643
0,4,47,0.000196579
0,4,48,0.000210671
0,4,49,0.000238149
0,4,50,0.000213411
0,4,51,0
0,4,52,0.000235882
0,4,53,0.000205557
0,4,54,0.000316393
0,4,55,0.000196039
0,4,56,0.000216794
0,4,57,0.000217876
0,4,58,0.000238894
0,4,59,0.000109277
0,5,6,0.00026081
0,5,7,0.000308357
0,5,8,0.000203333
0,5,9,0.000315293
0,5,10,7.6172e-05
0,5,11,0
0,5,12,0.00016621
0,5,13,0.00023345
0,5,14,0.000142242
0,5,15,0.000288642
0,5,16,0.000437144
0,5,17,0.000237805
0,5,18,0.000197941
0,5,19,0.000294366
0,5,20,0.000198285
0,5,21,0.0003508
0,5,22,0.000222305
0,5,23,0
0,5,24,0.000183683
0,5,25,0.000296764
0,5,26,0.000241815
0,5,27,0.000129295
0,5,28,0.000226434
0,5,29,0.000425644
0,5,30,0.00043031
0,5,31,0.000190192
0,5,32,0.000132067
0,5,33,0.000182441
0,5,34,0
0,5,35,0.000288136
0,5,36,0.000218756
0,5,37,0.000114934
0,5,38,0.000205242
0,5,39,0.000153516
0,5,40,0.00025939
0,5,41,0.000147062
0,5,42,0.000183071
0,5,43,0.000125754
0,5,44,0.00037117
0,5,45,0.000216791
0,5,46,0.000179117
0,5,47,0.000308443
0,5,48,0.000272878
0,5,49,0.000255555
0,5,50,0.000239487
0,5,51,0
0,5,52,0.000185671
0,5,53,0.000259113
0,5,54,0.000317336
0,5,55,0.000281735
0,5,56,0.000189052
0,5,57,0.000300392
0,5,58,0.00015008
0,5,59,6.01242e-05
0,6,7,0.000255387
0,6,8,0.000227952
0,6,9,0.000275931
0,6,10,0.000210278
0,6,11,0
0,6,12,0.000270712
0,6,13,0.000358441
0,6,14,0.000286815
0,6,15,0.000211865
0,6,16,2.50856e-05
0,6,17,0.000386134
0,6,18,0.000218811
0,6,19,0.000154081
0,6,20,0.000283395
0,6,21,0.000166079
0,6,22,0.000270406
0,6,23,0
0,6,24,0.000144229
0,6,25,0.000333211
0,6,26,0.000242752
0,6,27,0.000176189
0,6,28,0.000189043
0,6,29,0.000278078
0,6,30,0.000233715
0,6,31,0.000297458
0,6,32,7.06937e-05
0,6,33,0.000157061
0,6,34,0
0,6,35,0.000136034
0,6,36,0.000216378
0,6,37,0.00013628
0,6,38,0.000259626
0,6,39,0.000258026
0,6,40,0.000144765
0,6,41,0.000146348
0,6,42,0.000234262
0,6,43,0.000211949
0,6,44,0.000290599
0,6,45,0.000123753
0,6,46,0.000359825
0,6,47,0.000232939
0,6,48,0.000255562
0,6,49,0.000247193
0,6,50,0.000248732
0,6,51,0
0,6,52,0.000237662
0,6,53,0.000144793
0,6,54,0.000110725
0,6,55,0.000107991
0,6,56,0.00017033
0,6,57,0.000115578
0,6,58,0.000149904
0,6,59,0.000137261
0,7,8,0.000368691
0,7,9,0.00012489
0,7,10,0.000173295
0,7,11,0
0,7,12,8.81693e-05
0,7,13,0.000299314
0,7,14,0.000159327
0,7,15,0.000288703
0,7,16,0.000161521
0,7,17,0.000217871
0,7,18,0.000341606
0,7,19,0.000285134
0,7,20,9.23691e-05
0,7,21,0.000213802
0,7,22,0.000166843
0,7,23,0
0,7,24,0.00020593
0,7,25,0.000201114
0,7,26,0.000261443
0,7,27,8.12051e-05
0,7,28,0.000222882
0,7,29,0.000157506
0,7,30,0.000395392
0,7,31,0.00026762
0,7,32,0.000165181
0,7,33,0.000127636
0,7,34,0
0,7,35,0.000135534
0,7,36,0.00020552
0,7,37,0.000256622
0,7,38,0.000163442
0,7,39,0.000169146
0,7,40,0.000267219
0,7,41,0.00019085
0,7,42,0.000187414
0,7,43,0.000214276
0,7,44,0.000193765
0,7,45,0.000160869
0,7,46,0.000319618
0,7,47,0.000119721
0,7,48,0.000119481
0,7,49,0.000148002
0,7,50,0.000186681
0,7,51,0
0,7,52,0.000172404
0,7,53,0.000245572
0,7,54,0.000284748
0,7,55,8.04519e-05
0,7,56,0.000185855
0,7,57,0.000219978
0,7,58,0.0003568
0,7,59,0.000373789
0,8,9,0.000111873
0,8,10,0.00014894
0,8,11,0
0,8,12,8.24282e-05
0,8,13,0.000325769
0,8,14,0.000298806
0,8,15,0.000103242
0,8,16,2.05257e-05
0,8,17,0.000127324
0,8,18,0.000131946
0,8,19,0.000331803
0,8,20,0.000419363
0,8,21,0.000239783
0,8,22,0.000286181
0,8,23,0
0,8,24,0.000167097
0,8,25,0.000125457
0,8,26,0.000249593
0,8,27,0.000246769
0,8,28,0.000250841
0,8,29,0.000361367
0,8,30,0.000341518
0,8,31,0.000313994
0,8,32,0.000142528
0,8,33,0.000192472
0,8,34,0
0,8,35,0.000155474
0,8,36,5.06213e-05
0,8,37,0.000120981
0,8,38,0.000235102
0,8,39,9.58761e-05
0,8,40,8.86343e-05
0,8,41,3.26973e-05
0,8,42,0.000141902
0,8,43,0.000110003
0,8,44,3.28702e-05
0,8,45,4.72286e-05
0,8,46,0.000236663
0,8,47,0.000285614
0,8,48,0.000291143
0,8,49,0.000228199
0,8,50,0.000129579
0,8,51,0
0,8,52,0.000276638
0,8,53,0.000244662
0,8,54,0.000111498
0,8,55,0.00014187
0,8,56,0.000107989
0,8,57,0.000507089
0,8,58,0.000204364
0,8,59,4.6063e-06
0,9,10,0.000313897
0,9,11,0
0,9,12,7.50026e-05
0,9,13,0.000343465
0,9,14,0.000233186
0,9,15,0.000180292
0,9,16,1.3127e-05
0,9,17,0.000395184
0,9,18,0.000183573
0,9,19,0.000229823
0,9,20,0.000247691
0,9,21,5.93856e-05
0,9,22,0.000204621
0,9,23,0
0,9,24,5.87589e-05
0,9,25,0.000260441
0,9,26,0.000248714
0,9,27,0.000215153
0,9,28,4.59526e-05
0,9,29,0.000105978
0,9,30,0.000175304
0,9,31,8.38179e-05
0,9,32,0.000207927
0,9,33,0.000139927
0,9,34,0
0,9,35,0.000189189
0,9,36,0.000944447
0,9,37,0.000196447
0,9,38,0.000257998
0,9,39,9.4062e-05
0,9,40,0.000175323
0,9,41,0.000282235
0,9,42,0.000104319
0,9,43,0.000149446
0,9,44,0.000118355
0,9,45,0.000108669
0,9,46,0.000111333
0,9,47,1.56351e-05
0,9,48,0.000396394
0,9,49,0.000324868
0,9,50,6.21297e-05
0,9,51,0
0,9,52,0.000124588
0,9,53,0.000115209
0,9,54,0.000122815
0,9,55,1.00898e-05
0,9,56,0.000135323
0,9,57,0.000103346
0,9,58,0.000169916
0,9,59,4.90533e-06
0,10,11,0
0,10,12,6.23901e-05
0,10,13,0.000210812
0,10,14,0.00032658
0,10,15,0.000422885
0,10,16,6.68843e-05
0,10,17,0.000292244
0,10,18,0.00021082
0,10,19,0.000145984
0,10,20,0.000255811
0,10,21,0.000149697
0,10,22,0.000401444
0,10,23,0
0,10,24,0.000388667
0,10,25,0.000146125
0,10,26,0.000176813
0,10,27,0.000283877
0,10,28,0.000215918
0,10,29,0.000144634
0,10,30,0.000120732
