generation,population,x,y,w_mean,prop_of_k,effective_migration,ef0,
0,0,0.592845,0.844266,3.32295e-311,0.836,0.0717703,0.544419,
0,1,0.857946,0.847252,0.0720136,0.796,0.0351759,0.382113,
0,2,0.623564,0.384382,0.479975,0.832,0.0817308,0.638292,
0,3,0.297535,0.056713,0.105602,0.832,0.0528846,0.588274,
0,4,0.272656,0.477665,0.132638,0.804,0.0497512,0.311938,
0,5,0.812169,0.479977,1.11556e+75,0.832,0.0625,0.448219,
0,6,0.392785,0.836079,0.554874,0.844,0.0853081,0.498376,
0,7,0.337396,0.648172,0.483965,0.82,0.0926829,0.419404,
0,8,0.368242,0.957155,0.102045,0.82,0.0585366,0.429147,
0,9,0.140351,0.870087,0.617286,0.832,0.0769231,0.249344,
0,10,0.473608,0.800911,0.318767,0.832,0.0817308,0.570904,
0,11,0.520477,0.67888,0.00747256,0.836,0.100478,0.462527,
0,12,0.720633,0.58202,0.00411615,0.828,0.15942,0.442209,
0,13,0.537373,0.758616,0.482028,0.832,0.110577,0.545178,
0,14,0.105908,0.4736,0.497997,0.9,0.0355556,0.132739,
0,15,0.186332,0.736918,0.338323,0.824,0.0582524,0.257032,
0,16,0.21655,0.135218,0.505179,0.84,0,0.484013,
0,17,0.324141,0.149675,0.545779,0.84,0.052381,0.657692,
0,18,0.222321,0.386489,0.712448,0.8,0.075,0.323892,
0,19,0.902598,0.44995,0.566571,0.82,0.0487805,0.42682,
20,0,0.592845,0.844266,0.469983,0.844,0,0.544419,
20,1,0.857946,0.847252,1.51024e+230,0.824,0,0.382113,
20,2,0.623564,0.384382,0.646005,0.848,0,0.638292,
20,3,0.297535,0.056713,0.444334,0.848,0,0.588274,
20,4,0.272656,0.477665,0.556366,0.788,0,0.311938,
20,5,0.812169,0.479977,0.790815,0.844,0,0.448219,
20,6,0.392785,0.836079,0.64788,0.848,0,0.498376,
20,7,0.337396,0.648172,0.511959,0.832,0,0.419404,
20,8,0.368242,0.957155,1.27943e+152,0.84,0,0.429147,
20,9,0.140351,0.870087,0.707926,0.828,0,0.249344,
20,10,0.473608,0.800911,0.646064,0.824,0.0194175,0.570904,
20,11,0.520477,0.67888,0.690058,0.836,0,0.462527,
20,12,0.720633,0.58202,0.704108,0.84,0,0.442209,
20,13,0.537373,0.758616,0.690913,0.836,0.0143541,0.545178,
20,14,0.105908,0.4736,0.639855,0.904,0,0.132739,
20,15,0.186332,0.736918,1.16255e+153,0.832,0,0.257032,
20,16,0.21655,0.135218,0.552862,0.844,0.028436,0.484013,
20,17,0.324141,0.149675,6.26445e+140,0.84,0.0380952,0.657692,
20,18,0.222321,0.386489,1.16018e+75,0.8,0,0.323892,
20,19,0.902598,0.44995,-3.49203e+217,0.832,0.00961538,0.42682,
40,0,0.592845,0.844266,0.73642,0.868,0,0.544419,
40,1,0.857946,0.847252,0.6057,0.852,0,0.382113,
40,2,0.623564,0.384382,0.547337,0.864,0,0.638292,
40,3,0.297535,0.056713,0.592785,0.864,0.037037,0.588274,
40,4,0.272656,0.477665,0.771286,0.8,0,0.311938,
40,5,0.812169,0.479977,0.634613,0.852,0.0234742,0.448219,
40,6,0.392785,0.836079,0.55263,0.86,0,0.498376,
40,7,0.337396,0.648172,0.544152,0.844,0,0.419404,
40,8,0.368242,0.957155,1.48856e+229,0.836,0.0287081,0.429147,
40,9,0.140351,0.870087,0.210855,0.832,0,0.249344,
40,10,0.473608,0.800911,0.449207,0.824,0.0194175,0.570904,
40,11,0.520477,0.67888,1.09451e+75,0.848,0,0.462527,
40,12,0.720633,0.58202,0.57623,0.868,0,0.442209,
40,13,0.537373,0.758616,0.575246,0.856,0.0186916,0.545178,
40,14,0.105908,0.4736,0.512005,0.92,0,0.132739,
40,15,0.186332,0.736918,0.52203,0.816,0.0147059,0.257032,
40,16,0.21655,0.135218,-1.44702e+229,0.86,0.0139535,0.484013,
40,17,0.324141,0.149675,0.564508,0.86,0.0465116,0.657692,
40,18,0.222321,0.386489,0.619319,0.784,0.0102041,0.323892,
40,19,0.902598,0.44995,2.48221e+191,0.852,0.00938967,0.42682,
60,0,0.592845,0.844266,0.808369,0.848,0,0.544419,
60,1,0.857946,0.847252,0.850924,0.848,0,0.382113,
60,2,0.623564,0.384382,0.694246,0.868,0,0.638292,
60,3,0.297535,0.056713,0.663539,0.88,0.00454545,0.588274,
60,4,0.272656,0.477665,0.787003,0.82,0.00487805,0.311938,
60,5,0.812169,0.479977,0.484009,0.864,0.00925926,0.448219,
60,6,0.392785,0.836079,0.624196,0.876,0.0228311,0.498376,
60,7,0.337396,0.648172,0.609642,0.872,0,0.419404,
60,8,0.368242,0.957155,0.44678,0.856,0.0046729,0.429147,
60,9,0.140351,0.870087,0.577175,0.82,0,0.249344,
60,10,0.473608,0.800911,0.503936,0.832,0.00480769,0.570904,
60,11,0.520477,0.67888,-4.42336e+229,0.844,0.014218,0.462527,
60,12,0.720633,0.58202,0.862073,0.86,0.00465116,0.442209,
60,13,0.537373,0.758616,0.506821,0.852,0.028169,0.545178,
60,14,0.105908,0.4736,1.99172e+75,0.932,0,0.132739,
60,15,0.186332,0.736918,0.512811,0.796,0.0251256,0.257032,
60,16,0.21655,0.135218,7.32762e+152,0.88,0.0227273,0.484013,
60,17,0.324141,0.149675,0.750378,0.868,0.0322581,0.657692,
60,18,0.222321,0.386489,0.664675,0.788,0.00507614,0.323892,
60,19,0.902598,0.44995,0.585132,0.836,0,0.42682,
80,0,0.592845,0.844266,0.829711,0.856,0.0186916,0.544419,
80,1,0.857946,0.847252,0.716969,0.852,0,0.382113,
80,2,0.623564,0.384382,0.461181,0.876,0,0.638292,
80,3,0.297535,0.056713,0.581118,0.892,0.00896861,0.588274,
80,4,0.272656,0.477665,0.573567,0.844,0.00947867,0.311938,
80,5,0.812169,0.479977,0.581274,0.88,0.00909091,0.448219,
80,6,0.392785,0.836079,-2.81547e+229,0.884,0.040724,0.498376,
80,7,0.337396,0.648172,1.08937e+75,0.852,0.0140845,0.419404,
80,8,0.368242,0.957155,0.639098,0.872,0,0.429147,
80,9,0.140351,0.870087,4.46568e+229,0.836,0,0.249344,
80,10,0.473608,0.800911,1.26141e+152,0.852,0.028169,0.570904,
80,11,0.520477,0.67888,1.4675e+229,0.848,0,0.462527,
80,12,0.720633,0.58202,0.527876,0.868,0,0.442209,
80,13,0.537373,0.758616,0.543739,0.864,0.0740741,0.545178,
80,14,0.105908,0.4736,0.647837,0.94,0,0.132739,
80,15,0.186332,0.736918,0.653324,0.808,0.0346535,0.257032,
80,16,0.21655,0.135218,-2.82827e+229,0.88,0.00909091,0.484013,
80,17,0.324141,0.149675,-2.84118e+229,0.876,0.0136986,0.657692,
80,18,0.222321,0.386489,1.53256e+229,0.812,0.0394089,0.323892,
80,19,0.902598,0.44995,0.590183,0.828,0.0193237,0.42682,
100,0,0.592845,0.844266,0.569643,0.872,0.0137615,0.544419,
100,1,0.857946,0.847252,-1.44032e+229,0.864,0,0.382113,
100,2,0.623564,0.384382,1.40139e+229,0.888,0,0.638292,
100,3,0.297535,0.056713,-2.77776e+229,0.896,0.0267857,0.588274,
100,4,0.272656,0.477665,0.543981,0.844,0.014218,0.311938,
100,5,0.812169,0.479977,-1.41413e+229,0.88,0,0.448219,
100,6,0.392785,0.836079,0.624075,0.884,0.00904977,0.498376,
100,7,0.337396,0.648172,0.52455,0.852,0.00938967,0.419404,
100,8,0.368242,0.957155,0.733765,0.868,0.0184332,0.429147,
100,9,0.140351,0.870087,0.614801,0.836,0,0.249344,
100,10,0.473608,0.800911,0.654573,0.884,0.0588235,0.570904,
100,11,0.520477,0.67888,0.555048,0.872,0.0321101,0.462527,
100,12,0.720633,0.58202,0.769437,0.884,0,0.442209,
100,13,0.537373,0.758616,0.618247,0.86,0.00930233,0.545178,
100,14,0.105908,0.4736,-9.87387e+74,0.94,0,0.132739,
100,15,0.186332,0.736918,0.395263,0.804,0,0.257032,
100,16,0.21655,0.135218,0.514717,0.872,0.0366972,0.484013,
100,17,0.324141,0.149675,0.54487,0.872,0.0229358,0.657692,
100,18,0.222321,0.386489,0.327374,0.828,0.0241546,0.323892,
100,19,0.902598,0.44995,0.470444,0.836,0,0.42682,
