generation,population1,population2,ld,f_st
0,0,1,0.00207722,0.00618402
0,0,2,0.00207064,0.00518104
0,0,3,0.00208645,0.00657649
0,0,4,0.00213688,0.0056265
0,0,5,0.00204517,0.00505559
0,0,6,0.0020514,0.0062091
0,0,7,0.00202088,0.00598372
0,0,8,0.0020952,0.00636483
0,0,9,0.00205497,0.00674149
0,0,10,0.00207867,0.0061533
0,0,11,0.0020115,0.00532473
0,0,12,0.00206288,0.00485527
0,0,13,0.00204303,0.0060856
0,0,14,0.00198551,0.00550842
0,0,15,0.00204719,0.00635968
0,0,16,0.00201974,0.00569284
0,0,17,0.00205705,0.00541509
0,0,18,0.0020557,0.006074
0,0,19,0.00210293,0.00563015
0,1,2,0.00209122,0.00487402
0,1,3,0.00211538,0.005351
0,1,4,0.00217769,0.00540892
0,1,5,0.00209148,0.00528369
0,1,6,0.00210255,0.00531046
0,1,7,0.00207366,0.00544315
0,1,8,0.00214824,0.00575261
0,1,9,0.00210339,0.00516243
0,1,10,0.00209736,0.00507845
0,1,11,0.00206146,0.00517989
0,1,12,0.00208184,0.004769
0,1,13,0.002081,0.00591227
0,1,14,0.00203421,0.00528426
0,1,15,0.00207252,0.00573374
0,1,16,0.00205789,0.00485768
0,1,17,0.00209056,0.0055111
0,1,18,0.00212536,0.00546894
0,1,19,0.00213651,0.00499658
0,2,3,0.00210455,0.0055392
0,2,4,0.00218392,0.00528888
0,2,5,0.00209626,0.0047603
0,2,6,0.00207538,0.00519408
0,2,7,0.00203767,0.00488717
0,2,8,0.00212488,0.00474521
0,2,9,0.00210012,0.00502266
0,2,10,0.00206073,0.00508219
0,2,11,0.00205368,0.00549239
0,2,12,0.00207,0.00462343
0,2,13,0.00205577,0.00531418
0,2,14,0.00199331,0.0044122
0,2,15,0.00206395,0.00463885
0,2,16,0.00205303,0.00497067
0,2,17,0.00208732,0.00433169
0,2,18,0.00211203,0.00488311
0,2,19,0.002133,0.00504769
0,3,4,0.00221433,0.0068106
0,3,5,0.00211327,0.00534213
0,3,6,0.00211073,0.00600217
0,3,7,0.0020954,0.00571112
0,3,8,0.00216773,0.00639441
0,3,9,0.00211476,0.0060764
0,3,10,0.00210842,0.00566571
0,3,11,0.00206915,0.00599061
0,3,12,0.00208979,0.00589468
0,3,13,0.0020718,0.00579685
0,3,14,0.00206603,0.00575434
0,3,15,0.00212037,0.00555817
0,3,16,0.00207093,0.0050452
0,3,17,0.00209905,0.00631425
0,3,18,0.00211024,0.00545569
0,3,19,0.00213704,0.0051752
0,4,5,0.00215305,0.00531671
0,4,6,0.00213544,0.00567346
0,4,7,0.00209033,0.00502788
0,4,8,0.00220842,0.00596359
0,4,9,0.00216175,0.00656914
0,4,10,0.00215889,0.00630702
0,4,11,0.00213315,0.00601996
0,4,12,0.00214015,0.00614506
0,4,13,0.00213611,0.00647608
0,4,14,0.00209577,0.00520296
0,4,15,0.00213699,0.00605761
0,4,16,0.00212362,0.004891
0,4,17,0.00216762,0.00537583
0,4,18,0.0021658,0.0058222
0,4,19,0.00218785,0.00594431
0,5,6,0.00205215,0.00526432
0,5,7,0.00202462,0.00450103
0,5,8,0.00211731,0.00556736
0,5,9,0.00207529,0.00559101
0,5,10,0.00211088,0.00549772
0,5,11,0.00203814,0.00504433
0,5,12,0.00209444,0.00495046
0,5,13,0.002044,0.00451195
0,5,14,0.00200183,0.00450041
0,5,15,0.0020519,0.00531358
0,5,16,0.00207027,0.00523253
0,5,17,0.00210438,0.00503222
0,5,18,0.00206227,0.0053855
0,5,19,0.00210989,0.00505719
0,6,7,0.00203663,0.0055043
0,6,8,0.00210652,0.00531057
0,6,9,0.00206019,0.00572313
0,6,10,0.00208628,0.00562053
0,6,11,0.00201143,0.00642381
0,6,12,0.00205323,0.00550151
0,6,13,0.00204657,0.00584532
0,6,14,0.00200476,0.00469906
0,6,15,0.00203968,0.00623019
0,6,16,0.00202875,0.00503802
0,6,17,0.00205697,0.00522276
0,6,18,0.00206029,0.00500274
0,6,19,0.00210539,0.00553012
0,7,8,0.00206841,0.0049078
0,7,9,0.00203516,0.00553936
0,7,10,0.00205503,0.00488347
0,7,11,0.00199342,0.00498705
0,7,12,0.00202613,0.00522214
0,7,13,0.00199941,0.00591993
0,7,14,0.00196285,0.00456465
0,7,15,0.00202651,0.00436891
0,7,16,0.00200039,0.00492974
0,7,17,0.00203647,0.00488631
0,7,18,0.00204663,0.00511819
0,7,19,0.00207107,0.00554075
0,8,9,0.00208269,0.00608154
0,8,10,0.00209552,0.00591259
0,8,11,0.00208006,0.00664791
0,8,12,0.00209474,0.00594636
0,8,13,0.00208925,0.00579482
0,8,14,0.00204788,0.00483196
0,8,15,0.00211853,0.00618412
0,8,16,0.00205877,0.00469732
0,8,17,0.00208522,0.00508525
0,8,18,0.00212171,0.00582685
0,8,19,0.00213463,0.00590048
0,9,10,0.00206923,0.00555111
0,9,11,0.00200988,0.00587925
0,9,12,0.00203076,0.00546661
0,9,13,0.0020352,0.00640971
0,9,14,0.0020065,0.00535159
0,9,15,0.00203642,0.00556842
0,9,16,0.00204733,0.00531658
0,9,17,0.00207117,0.00476043
0,9,18,0.00208089,0.0061318
0,9,19,0.00211903,0.00530562
0,10,11,0.00202878,0.00564891
0,10,12,0.00206558,0.00499911
0,10,13,0.00205755,0.0060751
0,10,14,0.00198862,0.00536968
0,10,15,0.00206614,0.005371
0,10,16,0.00204079,0.004842
0,10,17,0.00205951,0.00518001
0,10,18,0.00204425,0.00493405
0,10,19,0.00210162,0.00493105
0,11,12,0.00202739,0.00510345
0,11,13,0.00201818,0.00629259
0,11,14,0.00197939,0.00526261
0,11,15,0.00203037,0.00617373
0,11,16,0.0020021,0.00499062
0,11,17,0.00203768,0.00567034
0,11,18,0.00203647,0.00631869
0,11,19,0.00206555,0.00495529
0,12,13,0.00204683,0.00577352
0,12,14,0.00200185,0.00573493
0,12,15,0.00205858,0.00507284
0,12,16,0.00203271,0.00505286
0,12,17,0.00206451,0.0047891
0,12,18,0.0020919,0.00583196
0,12,19,0.00211029,0.00570935
0,13,14,0.00199382,0.00503167
0,13,15,0.00202507,0.00555853
0,13,16,0.00198606,0.00547585
0,13,17,0.00204034,0.00564771
0,13,18,0.00206609,0.00532813
0,13,19,0.00208988,0.00609396
0,14,15,0.0019876,0.00468211
0,14,16,0.00195822,0.00422526
0,14,17,0.0020071,0.00450588
0,14,18,0.00200932,0.00514783
0,14,19,0.00204867,0.00503809
0,15,16,0.00204364,0.00525585
0,15,17,0.00207038,0.00524903
0,15,18,0.00205295,0.0049738
0,15,19,0.00207306,0.00527314
0,16,17,0.00203985,0.00453829
0,16,18,0.00204437,0.00505744
0,16,19,0.00208645,0.0043149
0,17,18,0.00208326,0.00577303
0,17,19,0.00210908,0.00496318
0,18,19,0.0021127,0.00585038
100,0,1,0.0130878,0.153386
100,0,2,0.0109267,0.130613
100,0,3,0.010643,0.136571
100,0,4,0.0114651,0.144768
100,0,5,0.00980993,0.126374
100,0,6,0.00792221,0.104289
100,0,7,0.00922271,0.129427
100,0,8,0.0101927,0.133848
100,0,9,0.0129561,0.153072
100,0,10,0.00646657,0.0818409
100,0,11,0.00792985,0.10486
100,0,12,0.0110565,0.136564
100,0,13,0.00564738,0.066959
100,0,14,0.0115526,0.138937
100,0,15,0.0099514,0.121465
100,0,16,0.00995664,0.135305
100,0,17,0.00891046,0.120766
100,0,18,0.00999334,0.13146
100,0,19,0.00878261,0.119557
100,1,2,0.0198355,0.191499
100,1,3,0.014718,0.16476
100,1,4,0.0147273,0.163661
100,1,5,0.0157758,0.177485
100,1,6,0.0155331,0.170729
100,1,7,0.0138032,0.155381
100,1,8,0.014104,0.154834
100,1,9,0.0199915,0.200494
100,1,10,0.0117649,0.132019
100,1,11,0.0117475,0.135599
100,1,12,0.0172741,0.184034
100,1,13,0.011687,0.133387
100,1,14,0.0154784,0.166115
100,1,15,0.014654,0.159488
100,1,16,0.0138684,0.153217
100,1,17,0.0145518,0.163431
100,1,18,0.0136882,0.147712
100,1,19,0.0133415,0.149155
100,2,3,0.0114506,0.140505
100,2,4,0.013931,0.163676
100,2,5,0.0140447,0.160274
100,2,6,0.0122574,0.147306
100,2,7,0.0120282,0.140563
100,2,8,0.01573,0.177245
100,2,9,0.0165228,0.178323
100,2,10,0.0107009,0.128673
100,2,11,0.0144535,0.166567
100,2,12,0.0133464,0.151814
100,2,13,0.0110573,0.134552
100,2,14,0.0171326,0.193472
100,2,15,0.0136386,0.154972
100,2,16,0.0108858,0.129449
100,2,17,0.0128755,0.158038
100,2,18,0.0145803,0.164982
100,2,19,0.0136407,0.162881
100,3,4,0.011398,0.144744
100,3,5,0.0100612,0.123779
100,3,6,0.00959104,0.127442
100,3,7,0.00979543,0.124379
100,3,8,0.0125986,0.15527
100,3,9,0.0143594,0.169383
100,3,10,0.00861937,0.118515
100,3,11,0.00916885,0.119421
100,3,12,0.0110511,0.134733
