generation,populationA,populationB,ct,prop_of_popB_from_popA
0,0,1,1,0.00502513
0,0,5,1,0.00480769
0,0,6,1,0.00473934
0,0,7,1,0.00487805
0,0,8,1,0.00487805
0,0,10,1,0.00480769
0,0,11,1,0.00478469
0,0,12,1,0.00483092
0,0,13,1,0.00480769
0,0,15,1,0.00485437
0,1,0,1,0.00478469
0,1,5,1,0.00480769
0,1,10,1,0.00480769
0,1,11,1,0.00478469
0,1,12,1,0.00483092
0,1,13,1,0.00480769
0,1,19,1,0.00487805
0,2,4,1,0.00497512
0,2,5,1,0.00480769
0,2,7,1,0.00487805
0,2,10,1,0.00480769
0,2,11,1,0.00478469
0,2,12,1,0.00483092
0,2,13,1,0.00480769
0,2,17,1,0.0047619
0,2,18,1,0.005
0,2,19,1,0.00487805
0,3,4,1,0.00497512
0,3,16,1,0.0047619
0,3,17,1,0.0047619
0,3,18,1,0.005
0,4,2,1,0.00480769
0,4,3,1,0.00480769
0,4,6,1,0.00473934
0,4,7,1,0.00487805
0,4,9,1,0.00480769
0,4,10,1,0.00480769
0,4,11,1,0.00478469
0,4,13,1,0.00480769
0,4,14,1,0.00444444
0,4,15,1,0.00485437
0,4,16,1,0.0047619
0,4,17,1,0.0047619
0,4,18,1,0.005
0,5,0,1,0.00478469
0,5,1,1,0.00502513
0,5,2,1,0.00480769
0,5,11,1,0.00478469
0,5,12,1,0.00483092
0,5,13,1,0.00480769
0,5,19,1,0.00487805
0,6,0,1,0.00478469
0,6,4,1,0.00497512
0,6,7,1,0.00487805
0,6,8,1,0.00487805
0,6,9,1,0.00480769
0,6,10,1,0.00480769
0,6,11,1,0.00478469
0,6,12,1,0.00483092
0,6,13,1,0.00480769
0,6,15,1,0.00485437
0,7,0,1,0.00478469
0,7,2,1,0.00480769
0,7,4,1,0.00497512
0,7,6,1,0.00473934
0,7,8,1,0.00487805
0,7,9,1,0.00480769
0,7,10,1,0.00480769
0,7,11,1,0.00478469
0,7,12,1,0.00483092
0,7,13,1,0.00480769
0,7,14,1,0.00444444
0,7,15,1,0.00485437
0,7,18,1,0.005
0,8,0,1,0.00478469
0,8,6,1,0.00473934
0,8,7,1,0.00487805
0,8,9,1,0.00480769
0,8,10,1,0.00480769
0,8,11,1,0.00478469
0,8,13,1,0.00480769
0,8,15,1,0.00485437
0,9,4,1,0.00497512
0,9,6,1,0.00473934
0,9,7,1,0.00487805
0,9,8,1,0.00487805
0,9,10,1,0.00480769
0,9,11,1,0.00478469
0,9,13,1,0.00480769
0,9,14,1,0.00444444
0,9,15,1,0.00485437
0,10,0,1,0.00478469
0,10,1,1,0.00502513
0,10,2,1,0.00480769
0,10,4,1,0.00497512
0,10,6,1,0.00473934
0,10,7,1,0.00487805
0,10,8,1,0.00487805
0,10,9,1,0.00480769
0,10,11,1,0.00478469
0,10,12,1,0.00483092
0,10,13,1,0.00480769
0,10,15,1,0.00485437
0,11,0,1,0.00478469
0,11,1,1,0.00502513
0,11,2,1,0.00480769
0,11,4,1,0.00497512
