pop1,pop2,dist
17,19,0.65175
18,0,0.588937
18,1,0.785061
18,2,0.401248
18,3,0.338244
18,4,0.104147
18,5,0.59721
18,6,0.480821
18,7,0.285867
18,8,0.589027
18,9,0.490496
18,10,0.484655
18,11,0.417599
18,12,0.5353
18,13,0.487582
18,14,0.145398
18,15,0.352272
18,16,0.251337
18,17,0.257775
18,18,0
18,19,0.683231
19,0,0.50143
19,1,0.399803
19,2,0.286635
19,3,0.721622
19,4,0.630552
19,5,0.0952847
19,6,0.639535
19,7,0.598954
19,8,0.736746
19,9,0.870366
19,10,0.554262
19,11,0.445449
19,12,0.224842
19,13,0.478188
19,14,0.797042
19,15,0.771614
19,16,0.754797
19,17,0.65175
19,18,0.683231
19,19,0
