generation,population,x,y,w_mean,prop_of_k,effective_migration,ef0,
0,0,0.592845,0.844266,6.1758e-234,0.836,0.0717703,0.544419,
0,1,0.857946,0.847252,3.48915e-311,0.796,0.0351759,0.382113,
0,2,0.623564,0.384382,3.33818e-311,0.832,0.0817308,0.638292,
0,3,0.297535,0.056713,3.33818e-311,0.832,0.0528846,0.588274,
0,4,0.272656,0.477665,0.178337,0.804,0.0497512,0.311938,
0,5,0.812169,0.479977,0.493998,0.832,0.0625,0.448219,
0,6,0.392785,0.836079,0.511841,0.844,0.0853081,0.498376,
0,7,0.337396,0.648172,0.501866,0.82,0.0926829,0.419404,
0,8,0.368242,0.957155,0.189356,0.82,0.0585366,0.429147,
0,9,0.140351,0.870087,0.0163961,0.832,0.0769231,0.249344,
0,10,0.473608,0.800911,3.33818e-311,0.832,0.0817308,0.570904,
0,11,0.520477,0.67888,3.32221e-311,0.836,0.100478,0.462527,
0,12,0.720633,0.58202,3.3543e-311,0.828,0.15942,0.442209,
0,13,0.537373,0.758616,0.0823182,0.832,0.110577,0.545178,
0,14,0.105908,0.4736,0.403314,0.9,0.0355556,0.132739,
0,15,0.186332,0.736918,0.531678,0.824,0.0582524,0.257032,
0,16,0.21655,0.135218,1.27942e+152,0.84,0,0.484013,
0,17,0.324141,0.149675,0.486816,0.84,0.052381,0.657692,
0,18,0.222321,0.386489,0.504738,0.8,0.075,0.323892,
0,19,0.902598,0.44995,0.63158,0.82,0.0487805,0.42682,
20,0,0.592845,0.844266,0.787987,0.832,0,0.544419,
20,1,0.857946,0.847252,0.834801,0.82,0,0.382113,
20,2,0.623564,0.384382,0.723933,0.848,0,0.638292,
20,3,0.297535,0.056713,0.790135,0.848,0,0.588274,
20,4,0.272656,0.477665,0.734638,0.824,0.0145631,0.311938,
20,5,0.812169,0.479977,0.691956,0.856,0,0.448219,
20,6,0.392785,0.836079,0.646381,0.84,0,0.498376,
20,7,0.337396,0.648172,0.531468,0.828,0,0.419404,
20,8,0.368242,0.957155,0.625245,0.84,0,0.429147,
20,9,0.140351,0.870087,0.534058,0.852,0,0.249344,
20,10,0.473608,0.800911,0.630521,0.828,0,0.570904,
20,11,0.520477,0.67888,0.596269,0.852,0.0234742,0.462527,
20,12,0.720633,0.58202,0.678009,0.832,0,0.442209,
20,13,0.537373,0.758616,0.654851,0.844,0.014218,0.545178,
20,14,0.105908,0.4736,0.673628,0.924,0,0.132739,
20,15,0.186332,0.736918,0.704962,0.836,0.0191388,0.257032,
20,16,0.21655,0.135218,0.656756,0.844,0,0.484013,
20,17,0.324141,0.149675,0.630629,0.84,0,0.657692,
20,18,0.222321,0.386489,0.664843,0.796,0.0201005,0.323892,
20,19,0.902598,0.44995,0.547602,0.82,0.0097561,0.42682,
40,0,0.592845,0.844266,0.774568,0.848,0,0.544419,
40,1,0.857946,0.847252,0.81697,0.824,0,0.382113,
40,2,0.623564,0.384382,1.2614e+152,0.852,0,0.638292,
40,3,0.297535,0.056713,1.00847,0.828,0,0.588274,
40,4,0.272656,0.477665,0.768499,0.828,0,0.311938,
40,5,0.812169,0.479977,0.763476,0.848,0,0.448219,
40,6,0.392785,0.836079,0.726856,0.844,0.0189573,0.498376,
40,7,0.337396,0.648172,0.73451,0.84,0,0.419404,
40,8,0.368242,0.957155,0.754242,0.84,0,0.429147,
40,9,0.140351,0.870087,0.69882,0.864,0,0.249344,
40,10,0.473608,0.800911,0.600874,0.836,0.0143541,0.570904,
40,11,0.520477,0.67888,0.629908,0.836,0.0143541,0.462527,
40,12,0.720633,0.58202,0.595429,0.816,0,0.442209,
40,13,0.537373,0.758616,0.669284,0.848,0.0330189,0.545178,
