generation,population1,population2,ld,f_st
0,0,1,0.00208087,0.0061006
0,0,2,0.00206591,0.00524252
0,0,3,0.00207727,0.00642093
0,0,4,0.00212685,0.00564663
0,0,5,0.00203853,0.00501239
0,0,6,0.00204142,0.00615994
0,0,7,0.0020147,0.00596389
0,0,8,0.00208935,0.00622889
0,0,9,0.00205459,0.00664425
0,0,10,0.00208362,0.00619787
0,0,11,0.00201235,0.00533124
0,0,12,0.00205852,0.00487353
0,0,13,0.00205348,0.0061424
0,0,14,0.00198448,0.00541824
0,0,15,0.00204422,0.00635757
0,0,16,0.00201595,0.00575574
0,0,17,0.00205216,0.00541645
0,0,18,0.00205513,0.00603646
0,0,19,0.00209675,0.00563576
0,1,2,0.00208952,0.00476989
0,1,3,0.00211542,0.00525188
0,1,4,0.00217634,0.00537091
0,1,5,0.00209362,0.0052674
0,1,6,0.00210161,0.0053033
0,1,7,0.0020802,0.00539436
0,1,8,0.00214853,0.00570759
0,1,9,0.00210298,0.0051411
0,1,10,0.00210944,0.00511446
0,1,11,0.00206914,0.00520865
0,1,12,0.00208561,0.00473545
0,1,13,0.00209926,0.00593483
0,1,14,0.00203922,0.0051722
0,1,15,0.00207132,0.00570902
0,1,16,0.00205807,0.00485404
0,1,17,0.00209307,0.00549936
0,1,18,0.00213446,0.0053421
0,1,19,0.00214015,0.00500807
0,2,3,0.00210902,0.00553843
0,2,4,0.00217732,0.00524382
0,2,5,0.00209072,0.00478846
0,2,6,0.0020695,0.00523643
0,2,7,0.00203546,0.0048686
0,2,8,0.00212102,0.00473565
0,2,9,0.00209935,0.00499644
0,2,10,0.00206443,0.00513939
0,2,11,0.00205264,0.0054217
0,2,12,0.00206869,0.00463662
0,2,13,0.00206671,0.00542122
0,2,14,0.00199566,0.00431875
0,2,15,0.00205875,0.00463716
0,2,16,0.00204811,0.00500449
0,2,17,0.00208766,0.00434274
0,2,18,0.00211506,0.00485855
0,2,19,0.00213167,0.00511493
0,3,4,0.00221111,0.00685436
0,3,5,0.00211185,0.00531734
0,3,6,0.00211258,0.00603126
0,3,7,0.00209724,0.00575062
0,3,8,0.00216736,0.00642655
0,3,9,0.0021241,0.00614754
0,3,10,0.00211702,0.00578236
0,3,11,0.00207344,0.0060342
0,3,12,0.00208892,0.00580821
0,3,13,0.00208079,0.00588408
0,3,14,0.00206716,0.00565687
0,3,15,0.00212049,0.0055433
0,3,16,0.00207325,0.0051288
0,3,17,0.00209684,0.00633282
0,3,18,0.00211874,0.00540381
0,3,19,0.00214016,0.00513398
0,4,5,0.00214387,0.00529078
0,4,6,0.00211995,0.00565156
0,4,7,0.00208482,0.00507428
0,4,8,0.00219974,0.00595273
0,4,9,0.00215177,0.00655934
0,4,10,0.00216302,0.00646741
0,4,11,0.00213187,0.00602064
0,4,12,0.00213191,0.00609386
0,4,13,0.00214486,0.00655834
0,4,14,0.00208518,0.00511961
0,4,15,0.00212696,0.00607389
0,4,16,0.0021146,0.00497614
0,4,17,0.00216416,0.00531551
0,4,18,0.00216181,0.00579007
0,4,19,0.00218028,0.00603753
0,5,6,0.00204763,0.00526414
0,5,7,0.00201997,0.00445847
0,5,8,0.00211399,0.00549278
0,5,9,0.00206844,0.0055438
0,5,10,0.00211522,0.00557942
0,5,11,0.00204097,0.00500282
0,5,12,0.00209094,0.00494055
0,5,13,0.00205507,0.00460073
0,5,14,0.0020028,0.00443157
0,5,15,0.00204766,0.00527582
0,5,16,0.00206682,0.00522567
0,5,17,0.00210182,0.00503238
0,5,18,0.00206254,0.00533819
0,5,19,0.00210757,0.00501653
0,6,7,0.00203434,0.00547685
0,6,8,0.00209886,0.00539211
0,6,9,0.00205853,0.00582826
0,6,10,0.00209529,0.00577432
0,6,11,0.00201142,0.00640645
0,6,12,0.00204833,0.0054832
0,6,13,0.0020533,0.00596394
0,6,14,0.00200818,0.00452266
0,6,15,0.00203244,0.00620308
0,6,16,0.00202408,0.00507727
0,6,17,0.0020547,0.00515704
0,6,18,0.00205909,0.00500212
0,6,19,0.0021012,0.0055935
0,7,8,0.00206674,0.00486842
0,7,9,0.00203647,0.0054739
0,7,10,0.00205695,0.0049598
0,7,11,0.00199589,0.00496283
0,7,12,0.00202446,0.00520763
0,7,13,0.00200917,0.00609696
0,7,14,0.00196194,0.00450035
0,7,15,0.00202219,0.00429138
0,7,16,0.00200027,0.00492953
0,7,17,0.00203623,0.0048585
0,7,18,0.00205056,0.00509843
0,7,19,0.00206873,0.00548847
0,8,9,0.00207466,0.00608799
0,8,10,0.00210375,0.00599125
0,8,11,0.00208084,0.00654006
0,8,12,0.00209192,0.0059005
0,8,13,0.00209912,0.00576757
0,8,14,0.00204579,0.00468442
0,8,15,0.00211226,0.00608104
0,8,16,0.00205525,0.0047122
0,8,17,0.00208287,0.00500108
0,8,18,0.00212062,0.00583149
0,8,19,0.00213131,0.00591838
0,9,10,0.00207096,0.00565037
0,9,11,0.00200802,0.00583103
0,9,12,0.00203098,0.00548896
0,9,13,0.00203809,0.00650024
0,9,14,0.00201127,0.00531483
0,9,15,0.00203253,0.0054706
0,9,16,0.00204715,0.00526079
0,9,17,0.00207118,0.00476913
0,9,18,0.00208795,0.00608419
0,9,19,0.00211474,0.00517072
0,10,11,0.00203753,0.00574981
0,10,12,0.00207248,0.00505539
0,10,13,0.00207259,0.0061982
0,10,14,0.0019987,0.00529353
0,10,15,0.00206918,0.0053612
0,10,16,0.00204603,0.00494755
0,10,17,0.00206634,0.00528506
0,10,18,0.00205527,0.00499041
0,10,19,0.00211015,0.00493637
0,11,12,0.00202857,0.00512404
0,11,13,0.00203156,0.00625247
0,11,14,0.00197951,0.00519164
0,11,15,0.00203023,0.00617602
0,11,16,0.00200246,0.00498163
0,11,17,0.00203769,0.00563824
0,11,18,0.00204153,0.00631575
0,11,19,0.00206092,0.00492521
0,12,13,0.00205606,0.00578267
0,12,14,0.00200183,0.00562339
0,12,15,0.00205798,0.00505803
0,12,16,0.00203098,0.00507738
0,12,17,0.00206451,0.0047891
0,12,18,0.00209519,0.00580748
0,12,19,0.00210736,0.00572336
0,13,14,0.00199365,0.00503324
0,13,15,0.00202941,0.00560357
0,13,16,0.00199153,0.00555649
0,13,17,0.00204995,0.00569561
0,13,18,0.00207658,0.0054213
0,13,19,0.00209597,0.00614109
0,14,15,0.00198258,0.00469167
0,14,16,0.00196305,0.00422486
0,14,17,0.00200649,0.00443746
0,14,18,0.0020129,0.00507433
0,14,19,0.00204755,0.00497134
0,15,16,0.00203712,0.0052199
0,15,17,0.00206547,0.00515284
0,15,18,0.00205382,0.00494501
0,15,19,0.00206754,0.00515485
0,16,17,0.0020379,0.00455527
0,16,18,0.00204765,0.00508619
0,16,19,0.00208153,0.00432379
0,17,18,0.00208768,0.00575264
0,17,19,0.00210708,0.00496215
0,18,19,0.00211103,0.0057925
100,0,1,0.0115379,0.134195
100,0,2,0.0158937,0.17401
100,0,3,0.00885312,0.120092
100,0,4,0.00896892,0.120461
100,0,5,0.0105624,0.132456
100,0,6,0.0074838,0.100594
100,0,7,0.0108887,0.143202
100,0,8,0.0112175,0.130124
100,0,9,0.0126282,0.147042
100,0,10,0.00537078,0.0589685
100,0,11,0.00724599,0.0987486
100,0,12,0.0122315,0.151506
100,0,13,0.00611997,0.0749644
100,0,14,0.00875628,0.113594
100,0,15,0.00957746,0.126045
100,0,16,0.00923163,0.122365
100,0,17,0.00910302,0.122435
100,0,18,0.00784392,0.106835
100,0,19,0.00898482,0.117505
100,1,2,0.0199727,0.198393
100,1,3,0.0129523,0.146685
100,1,4,0.0127485,0.146516
100,1,5,0.0154355,0.181747
100,1,6,0.0123143,0.138752
100,1,7,0.0127829,0.14973
100,1,8,0.0166336,0.183263
100,1,9,0.0131272,0.149764
100,1,10,0.0110287,0.130555
100,1,11,0.0137308,0.154489
100,1,12,0.0143819,0.160711
100,1,13,0.0133724,0.149253
100,1,14,0.0139235,0.158248
100,1,15,0.0125971,0.147517
100,1,16,0.0118013,0.136103
100,1,17,0.0130767,0.149379
100,1,18,0.0116808,0.130496
100,1,19,0.0147026,0.168864
100,2,3,0.014663,0.167274
100,2,4,0.0127585,0.136179
100,2,5,0.0165723,0.175221
100,2,6,0.0182114,0.188624
100,2,7,0.0158349,0.161604
100,2,8,0.0195174,0.19604
100,2,9,0.0152398,0.15733
100,2,10,0.0142316,0.159513
100,2,11,0.0145172,0.157369
100,2,12,0.0152787,0.158727
100,2,13,0.014999,0.160258
100,2,14,0.0155536,0.164627
100,2,15,0.0162477,0.16857
100,2,16,0.0158068,0.173776
100,2,17,0.0163071,0.169182
100,2,18,0.0149379,0.16325
100,2,19,0.0139869,0.157243
100,3,4,0.00857237,0.114356
100,3,5,0.0107656,0.141172
100,3,6,0.00870803,0.119334
100,3,7,0.00958637,0.127736
100,3,8,0.0098642,0.120675
100,3,9,0.0118345,0.146789
100,3,10,0.00867061,0.121692
100,3,11,0.00946186,0.1325
100,3,12,0.0127202,0.165943
100,3,13,0.00865924,0.117368
100,3,14,0.0100106,0.124575
100,3,15,0.0102047,0.138151
100,3,16,0.00614665,0.0742994
100,3,17,0.00582584,0.0748174
100,3,18,0.00907798,0.125454
100,3,19,0.00851231,0.119531
100,4,5,0.0099559,0.125613
100,4,6,0.00878826,0.117259
100,4,7,0.00987974,0.123961
100,4,8,0.011444,0.134168
100,4,9,0.0130337,0.159264
100,4,10,0.00781011,0.112212
100,4,11,0.00996489,0.130664
100,4,12,0.0112608,0.143085
100,4,13,0.00941408,0.122569
100,4,14,0.0073823,0.0870567
100,4,15,0.0101549,0.129756
100,4,16,0.00883239,0.111788
100,4,17,0.0100805,0.128777
100,4,18,0.00726557,0.0809362
100,4,19,0.0107532,0.143159
100,5,6,0.0101237,0.126496
100,5,7,0.0116038,0.147328
100,5,8,0.0123735,0.148503
100,5,9,0.0140946,0.164899
100,5,10,0.00926016,0.119888
100,5,11,0.0104453,0.131127
100,5,12,0.0127596,0.154015
100,5,13,0.0105956,0.136594
100,5,14,0.0109566,0.132655
100,5,15,0.0111777,0.146367
100,5,16,0.01208,0.146057
100,5,17,0.0107222,0.129411
100,5,18,0.0098127,0.122941
100,5,19,0.00838156,0.105391
100,6,7,0.00862214,0.114741
100,6,8,0.0104155,0.125797
100,6,9,0.011339,0.133464
100,6,10,0.00695536,0.0843425
100,6,11,0.00946377,0.126749
100,6,12,0.0111665,0.147113
100,6,13,0.00810591,0.107547
100,6,14,0.00906787,0.116835
