generation,population1,population2,ld,f_st
0,0,1,0.00210783,0.00490017
0,0,2,0.00207135,0.00506811
0,0,3,0.00211457,0.00549418
0,0,4,0.0021361,0.00530714
0,0,5,0.00207508,0.00513571
0,0,6,0.00200979,0.00479213
0,0,7,0.0020029,0.00518964
0,0,8,0.00208067,0.00561448
0,0,9,0.00204072,0.00515848
0,0,10,0.00204964,0.00594489
0,0,11,0.0020086,0.0045459
0,0,12,0.00207163,0.00574112
0,0,13,0.00206382,0.00507612
0,0,14,0.00196413,0.00503724
0,0,15,0.00205201,0.00503323
0,0,16,0.00198889,0.00534897
0,0,17,0.00207517,0.00523532
0,0,18,0.00206255,0.00524629
0,0,19,0.00210644,0.00534509
0,1,2,0.00213388,0.00483691
0,1,3,0.00218782,0.00636719
0,1,4,0.00220862,0.00584778
0,1,5,0.00216156,0.00516586
0,1,6,0.00208389,0.00488272
0,1,7,0.00206262,0.00562995
0,1,8,0.00216779,0.00564406
0,1,9,0.00211304,0.00510959
0,1,10,0.00208363,0.00563598
0,1,11,0.00211139,0.00508126
0,1,12,0.00213104,0.0047756
0,1,13,0.0021244,0.00513813
0,1,14,0.00203557,0.00527838
0,1,15,0.00210765,0.00512525
0,1,16,0.00209838,0.00625825
0,1,17,0.00217214,0.00504643
0,1,18,0.00213934,0.00585212
0,1,19,0.00218251,0.00571532
0,2,3,0.00214673,0.00558114
0,2,4,0.0021731,0.00535678
0,2,5,0.00209737,0.00515687
0,2,6,0.00203988,0.00521018
0,2,7,0.00206278,0.00506911
0,2,8,0.00213102,0.00540358
0,2,9,0.00212239,0.0051792
0,2,10,0.00207967,0.00561733
0,2,11,0.00208066,0.00549159
0,2,12,0.00209733,0.00519515
0,2,13,0.00208654,0.00485506
0,2,14,0.00198148,0.00471822
0,2,15,0.00209711,0.00499414
0,2,16,0.00207869,0.00598222
0,2,17,0.00212155,0.00442773
0,2,18,0.00212778,0.00503712
0,2,19,0.00212932,0.00531851
0,3,4,0.00220173,0.00488246
0,3,5,0.00212582,0.00586072
0,3,6,0.00208632,0.00589909
0,3,7,0.00208322,0.00517535
0,3,8,0.00214327,0.00610707
0,3,9,0.00215417,0.00625445
0,3,10,0.00212326,0.00599161
0,3,11,0.00210527,0.0053086
0,3,12,0.00213221,0.00585474
0,3,13,0.00210313,0.00552484
0,3,14,0.00203741,0.00518231
0,3,15,0.00212547,0.00543799
0,3,16,0.00209308,0.00606981
0,3,17,0.00214287,0.00596162
0,3,18,0.00210887,0.0056551
0,3,19,0.00215279,0.0056084
0,4,5,0.00217552,0.00561829
0,4,6,0.0021254,0.00432254
0,4,7,0.00209103,0.00459828
0,4,8,0.00219824,0.00514288
0,4,9,0.00214093,0.00547201
