generation,population,x,y,w_mean,prop_of_k,effective_migration,ef0,
0,0,0.592845,0.844266,0.531751,0.832,0.0769231,0.544419,
0,1,0.857946,0.847252,0.295499,0.796,0.0703518,0.382113,
0,2,0.623564,0.384382,0.117733,0.836,0.100478,0.638292,
0,3,0.297535,0.056713,0.590848,0.832,0.0769231,0.588274,
0,4,0.272656,0.477665,-2.68678e+152,0.8,0.115,0.311938,
0,5,0.812169,0.479977,0.375696,0.832,0.0240385,0.448219,
0,6,0.392785,0.836079,0.044295,0.848,0.0943396,0.498376,
0,7,0.337396,0.648172,0.362871,0.824,0.131068,0.419404,
0,8,0.368242,0.957155,0.241854,0.816,0.0490196,0.429147,
0,9,0.140351,0.870087,0.475226,0.828,0.101449,0.249344,
0,10,0.473608,0.800911,-1.48855e+229,0.836,0.114833,0.570904,
0,11,0.520477,0.67888,1.28554e+152,0.836,0.0861244,0.462527,
0,12,0.720633,0.58202,0.581315,0.824,0.131068,0.442209,
0,13,0.537373,0.758616,0.314234,0.836,0.167464,0.545178,
0,14,0.105908,0.4736,0.0630871,0.9,0.04,0.132739,
0,15,0.186332,0.736918,3.36373e-311,0.824,0.0825243,0.257032,
0,16,0.21655,0.135218,0.0233972,0.84,0.052381,0.484013,
0,17,0.324141,0.149675,0.526545,0.84,0.0761905,0.657692,
0,18,0.222321,0.386489,0.429574,0.8,0.055,0.323892,
0,19,0.902598,0.44995,0.424988,0.816,0.0441176,0.42682,
20,0,0.592845,0.844266,0.811474,0.828,0.0531401,0.544419,
20,1,0.857946,0.847252,0.706129,0.804,0.0199005,0.382113,
20,2,0.623564,0.384382,0.741038,0.848,0.0471698,0.638292,
20,3,0.297535,0.056713,0.536528,0.844,0.028436,0.588274,
20,4,0.272656,0.477665,0.683508,0.812,0.152709,0.311938,
20,5,0.812169,0.479977,0.568783,0.852,0.0422535,0.448219,
20,6,0.392785,0.836079,1.46749e+229,0.848,0.0613208,0.498376,
20,7,0.337396,0.648172,-4.07881e+139,0.828,0.10628,0.419404,
20,8,0.368242,0.957155,1.29172e+152,0.832,0.0769231,0.429147,
20,9,0.140351,0.870087,0.811664,0.828,0.0772947,0.249344,
20,10,0.473608,0.800911,0.783229,0.856,0.107477,0.570904,
20,11,0.520477,0.67888,0.70996,0.832,0.110577,0.462527,
20,12,0.720633,0.58202,0.718682,0.84,0.052381,0.442209,
20,13,0.537373,0.758616,1.11021e+75,0.836,0.0669856,0.545178,
20,14,0.105908,0.4736,0.601293,0.896,0.0535714,0.132739,
20,15,0.186332,0.736918,1.1544e+75,0.804,0.139303,0.257032,
20,16,0.21655,0.135218,1.0945e+75,0.848,0.0330189,0.484013,
20,17,0.324141,0.149675,0.562048,0.844,0.0331754,0.657692,
20,18,0.222321,0.386489,0.477874,0.8,0.09,0.323892,
20,19,0.902598,0.44995,0.533438,0.82,0.0536585,0.42682,
40,0,0.592845,0.844266,0.497895,0.852,0.0751174,0.544419,
40,1,0.857946,0.847252,-2.34884e+217,0.824,0.0242718,0.382113,
40,2,0.623564,0.384382,-1.26735e+152,0.848,0.0566038,0.638292,
40,3,0.297535,0.056713,1.26735e+152,0.848,0.0235849,0.588274,
40,4,0.272656,0.477665,0.577639,0.812,0.123153,0.311938,
40,5,0.812169,0.479977,0.514539,0.828,0.0531401,0.448219,
40,6,0.392785,0.836079,-1.08937e+75,0.852,0.0422535,0.498376,
40,7,0.337396,0.648172,0.733188,0.816,0.0980392,0.419404,
40,8,0.368242,0.957155,0.791048,0.844,0.0805687,0.429147,
40,9,0.140351,0.870087,0.704595,0.832,0.0288462,0.249344,
40,10,0.473608,0.800911,0.742702,0.868,0.0875576,0.570904,
40,11,0.520477,0.67888,0.684782,0.828,0.111111,0.462527,
40,12,0.720633,0.58202,1.48147e+229,0.84,0.0857143,0.442209,
40,13,0.537373,0.758616,0.468783,0.836,0.0526316,0.545178,
40,14,0.105908,0.4736,1.19946e+152,0.896,0.0669643,0.132739,
40,15,0.186332,0.736918,0.385034,0.832,0.110577,0.257032,
40,16,0.21655,0.135218,0.655176,0.856,0.0327103,0.484013,
40,17,0.324141,0.149675,0.470487,0.856,0.0420561,0.657692,
40,18,0.222321,0.386489,0.500671,0.8,0.1,0.323892,
40,19,0.902598,0.44995,0.515571,0.828,0.0338164,0.42682,
60,0,0.592845,0.844266,0.638526,0.868,0.0460829,0.544419,
60,1,0.857946,0.847252,0.80897,0.824,0.00485437,0.382113,
60,2,0.623564,0.384382,0.69963,0.848,0.0283019,0.638292,
60,3,0.297535,0.056713,0.738669,0.872,0.0550459,0.588274,
60,4,0.272656,0.477665,0.673851,0.812,0.118227,0.311938,
60,5,0.812169,0.479977,0.790553,0.828,0.0628019,0.448219,
60,6,0.392785,0.836079,0.863796,0.856,0.0560748,0.498376,
60,7,0.337396,0.648172,0.595869,0.812,0.152709,0.419404,
60,8,0.368242,0.957155,0.724074,0.844,0.0379147,0.429147,
60,9,0.140351,0.870087,0.822214,0.824,0.0825243,0.249344,
60,10,0.473608,0.800911,0.78637,0.856,0.0560748,0.570904,
60,11,0.520477,0.67888,0.472703,0.836,0.0861244,0.462527,
60,12,0.720633,0.58202,-1.27942e+152,0.84,0.0761905,0.442209,
60,13,0.537373,0.758616,0.745553,0.836,0.110048,0.545178,
60,14,0.105908,0.4736,-1.3827e+229,0.9,0.0844444,0.132739,
60,15,0.186332,0.736918,0.591344,0.832,0.0769231,0.257032,
60,16,0.21655,0.135218,0.575567,0.864,0.0462963,0.484013,
60,17,0.324141,0.149675,0.624746,0.856,0.0700935,0.657692,
60,18,0.222321,0.386489,0.537051,0.796,0.0351759,0.323892,
60,19,0.902598,0.44995,0.654853,0.832,0.0144231,0.42682,
80,0,0.592845,0.844266,0.775859,0.86,0.0883721,0.544419,
80,1,0.857946,0.847252,0.650999,0.844,0.0473934,0.382113,
80,2,0.623564,0.384382,0.549688,0.84,0.0428571,0.638292,
80,3,0.297535,0.056713,0.474895,0.868,0.0138249,0.588274,
80,4,0.272656,0.477665,0.577464,0.816,0.117647,0.311938,
80,5,0.812169,0.479977,0.514344,0.856,0.0700935,0.448219,
80,6,0.392785,0.836079,-2.90755e+229,0.856,0.0420561,0.498376,
80,7,0.337396,0.648172,4.5307e+229,0.824,0.0728155,0.419404,
80,8,0.368242,0.957155,-2.51101e+152,0.856,0.0514019,0.429147,
80,9,0.140351,0.870087,2.94889e+229,0.844,0.0663507,0.249344,
80,10,0.473608,0.800911,1.48855e+229,0.836,0.114833,0.570904,
80,11,0.520477,0.67888,0.513307,0.848,0.113208,0.462527,
80,12,0.720633,0.58202,0.452315,0.828,0.0338164,0.442209,
80,13,0.537373,0.758616,0.659841,0.836,0.105263,0.545178,
80,14,0.105908,0.4736,1.3827e+229,0.9,0.04,0.132739,
80,15,0.186332,0.736918,0.472165,0.828,0.057971,0.257032,
80,16,0.21655,0.135218,0.638043,0.88,0.0454545,0.484013,
80,17,0.324141,0.149675,0.527127,0.868,0.0322581,0.657692,
80,18,0.222321,0.386489,-1.53255e+230,0.812,0.0788177,0.323892,
80,19,0.902598,0.44995,0.734595,0.852,0.028169,0.42682,
100,0,0.592845,0.844266,0.810069,0.852,0.056338,0.544419,
100,1,0.857946,0.847252,0.603854,0.852,0.0375587,0.382113,
100,2,0.623564,0.384382,0.835319,0.86,0.055814,0.638292,
100,3,0.297535,0.056713,0.649056,0.876,0.0319635,0.588274,
100,4,0.272656,0.477665,0.654059,0.808,0.0643564,0.311938,
100,5,0.812169,0.479977,0.583879,0.872,0.0229358,0.448219,
100,6,0.392785,0.836079,0.676974,0.86,0.116279,0.498376,
100,7,0.337396,0.648172,-1.28554e+152,0.836,0.076555,0.419404,
100,8,0.368242,0.957155,0.582205,0.856,0.0747664,0.429147,
100,9,0.140351,0.870087,1.48147e+229,0.84,0.047619,0.249344,
100,10,0.473608,0.800911,1.51023e+229,0.824,0.0242718,0.570904,
100,11,0.520477,0.67888,0.62148,0.852,0.126761,0.462527,
100,12,0.720633,0.58202,0.596553,0.852,0.0985915,0.442209,
100,13,0.537373,0.758616,1.4606e+229,0.852,0.117371,0.545178,
100,14,0.105908,0.4736,0.813385,0.9,0.0533333,0.132739,
100,15,0.186332,0.736918,0.746437,0.84,0.0952381,0.257032,
100,16,0.21655,0.135218,0.70399,0.864,0.0555556,0.484013,
100,17,0.324141,0.149675,0.628121,0.88,0.0545455,0.657692,
100,18,0.222321,0.386489,0.709365,0.828,0.0483092,0.323892,
100,19,0.902598,0.44995,0.70203,0.88,0.0363636,0.42682,
120,0,0.592845,0.844266,0.858428,0.84,0.0571429,0.544419,
120,1,0.857946,0.847252,0.782766,0.852,0.0375587,0.382113,
120,2,0.623564,0.384382,0.851304,0.844,0.042654,0.638292,
120,3,0.297535,0.056713,0.840265,0.864,0.0277778,0.588274,
120,4,0.272656,0.477665,0.796013,0.804,0.104478,0.311938,
120,5,0.812169,0.479977,0.74081,0.872,0.00917431,0.448219,
120,6,0.392785,0.836079,0.80333,0.868,0.0645161,0.498376,
120,7,0.337396,0.648172,0.779034,0.84,0.0857143,0.419404,
120,8,0.368242,0.957155,0.78649,0.836,0.0861244,0.429147,
120,9,0.140351,0.870087,-1.11021e+75,0.836,0.0334928,0.249344,
120,10,0.473608,0.800911,0.768577,0.824,0.0728155,0.570904,
120,11,0.520477,0.67888,0.70215,0.856,0.11215,0.462527,
120,12,0.720633,0.58202,0.748907,0.852,0.0798122,0.442209,
120,13,0.537373,0.758616,0.775973,0.844,0.14218,0.545178,
120,14,0.105908,0.4736,0.771701,0.892,0.0269058,0.132739,
120,15,0.186332,0.736918,0.765228,0.844,0.127962,0.257032,
120,16,0.21655,0.135218,0.702898,0.856,0.0327103,0.484013,
120,17,0.324141,0.149675,0.994666,0.872,0.059633,0.657692,
120,18,0.222321,0.386489,0.763352,0.816,0.0490196,0.323892,
120,19,0.902598,0.44995,0.642047,0.884,0.00904977,0.42682,
140,0,0.592845,0.844266,0.677785,0.844,0.109005,0.544419,
140,1,0.857946,0.847252,0.622719,0.856,0.0233645,0.382113,
140,2,0.623564,0.384382,0.758791,0.84,0.0571429,0.638292,
140,3,0.297535,0.056713,0.313061,0.86,0.0139535,0.588274,
140,4,0.272656,0.477665,0.500693,0.804,0.0547264,0.311938,
140,5,0.812169,0.479977,0.709646,0.872,0.0412844,0.448219,
140,6,0.392785,0.836079,0.740627,0.86,0.0651163,0.498376,
140,7,0.337396,0.648172,0.778001,0.844,0.123223,0.419404,
140,8,0.368242,0.957155,0.705019,0.86,0.0139535,0.429147,
140,9,0.140351,0.870087,0.452347,0.844,0.0900474,0.249344,
140,10,0.473608,0.800911,0.646554,0.844,0.0663507,0.570904,
140,11,0.520477,0.67888,0.659258,0.872,0.0458716,0.462527,
140,12,0.720633,0.58202,0.82756,0.836,0.0669856,0.442209,
140,13,0.537373,0.758616,0.801678,0.844,0.0805687,0.545178,
140,14,0.105908,0.4736,0.788202,0.896,0.0223214,0.132739,
140,15,0.186332,0.736918,0.744338,0.836,0.0382775,0.257032,
140,16,0.21655,0.135218,0.641898,0.86,0.0465116,0.484013,
140,17,0.324141,0.149675,0.589555,0.864,0.0787037,0.657692,
140,18,0.222321,0.386489,0.816581,0.808,0.0792079,0.323892,
140,19,0.902598,0.44995,1.22684e+152,0.876,0.0456621,0.42682,
160,0,0.592845,0.844266,0.83961,0.844,0.0379147,0.544419,
160,1,0.857946,0.847252,0.676995,0.848,0.0235849,0.382113,
160,2,0.623564,0.384382,-1.08937e+75,0.852,0.0469484,0.638292,
160,3,0.297535,0.056713,0.564435,0.856,0.0327103,0.588274,
160,4,0.272656,0.477665,0.506437,0.808,0.118812,0.311938,
160,5,0.812169,0.479977,0.633672,0.872,0.059633,0.448219,
160,6,0.392785,0.836079,0.779565,0.864,0.0555556,0.498376,
160,7,0.337396,0.648172,0.728724,0.856,0.0654206,0.419404,
160,8,0.368242,0.957155,0.617473,0.864,0.106481,0.429147,
160,9,0.140351,0.870087,0.637059,0.844,0.0379147,0.249344,
160,10,0.473608,0.800911,0.581133,0.86,0.12093,0.570904,
160,11,0.520477,0.67888,-1.45378e+229,0.856,0.107477,0.462527,
160,12,0.720633,0.58202,-1.45378e+229,0.856,0.0934579,0.442209,
160,13,0.537373,0.758616,0.452562,0.852,0.0657277,0.545178,
160,14,0.105908,0.4736,0.587649,0.896,0.0178571,0.132739,
160,15,0.186332,0.736918,0.531373,0.84,0.0761905,0.257032,
160,16,0.21655,0.135218,0.823581,0.844,0.0331754,0.484013,
160,17,0.324141,0.149675,0.703474,0.872,0.0688073,0.657692,
160,18,0.222321,0.386489,0.424532,0.812,0.0541872,0.323892,
160,19,0.902598,0.44995,0.5731,0.876,0.0456621,0.42682,
180,0,0.592845,0.844266,1.08937e+75,0.852,0.0798122,0.544419,
180,1,0.857946,0.847252,0.524247,0.84,0.0571429,0.382113,
180,2,0.623564,0.384382,0.503654,0.848,0.0188679,0.638292,
180,3,0.297535,0.056713,0.447849,0.86,0.0325581,0.588274,
180,4,0.272656,0.477665,0.819258,0.812,0.123153,0.311938,
180,5,0.812169,0.479977,0.776979,0.868,0.0322581,0.448219,
180,6,0.392785,0.836079,0.459901,0.856,0.088785,0.498376,
180,7,0.337396,0.648172,1.23786e+152,0.868,0.0506912,0.419404,
180,8,0.368242,0.957155,0.706444,0.852,0.056338,0.429147,
180,9,0.140351,0.870087,0.799164,0.844,0.0616114,0.249344,
180,10,0.473608,0.800911,0.78409,0.856,0.14486,0.570904,
180,11,0.520477,0.67888,0.77,0.872,0.059633,0.462527,
180,12,0.720633,0.58202,0.481531,0.88,0.05,0.442209,
180,13,0.537373,0.758616,0.718941,0.848,0.0330189,0.545178,
180,14,0.105908,0.4736,0.60097,0.892,0.0403587,0.132739,
180,15,0.186332,0.736918,1.48855e+229,0.836,0.0430622,0.257032,
180,16,0.21655,0.135218,0.698905,0.856,0.0514019,0.484013,
180,17,0.324141,0.149675,0.669575,0.868,0.0691244,0.657692,
180,18,0.222321,0.386489,0.961213,0.804,0.0248756,0.323892,
180,19,0.902598,0.44995,0.593898,0.872,0.0321101,0.42682,
200,0,0.592845,0.844266,0.864636,0.856,0.0700935,0.544419,
200,1,0.857946,0.847252,0.798491,0.864,0.0462963,0.382113,
200,2,0.623564,0.384382,0.84703,0.84,0.052381,0.638292,
200,3,0.297535,0.056713,0.845855,0.864,0.0277778,0.588274,
200,4,0.272656,0.477665,0.827218,0.828,0.0966184,0.311938,
200,5,0.812169,0.479977,0.762432,0.864,0.0138889,0.448219,
200,6,0.392785,0.836079,0.796011,0.868,0.0599078,0.498376,
200,7,0.337396,0.648172,0.809357,0.872,0.100917,0.419404,
200,8,0.368242,0.957155,0.815654,0.86,0.055814,0.429147,
200,9,0.140351,0.870087,0.774665,0.844,0.042654,0.249344,
200,10,0.473608,0.800911,0.781599,0.86,0.0790698,0.570904,
200,11,0.520477,0.67888,0.780884,0.864,0.125,0.462527,
200,12,0.720633,0.58202,0.749404,0.876,0.0639269,0.442209,
200,13,0.537373,0.758616,0.766322,0.852,0.0892019,0.545178,
200,14,0.105908,0.4736,0.737995,0.884,0.0497738,0.132739,
200,15,0.186332,0.736918,0.829739,0.828,0.10628,0.257032,
200,16,0.21655,0.135218,0.742426,0.856,0.0747664,0.484013,
200,17,0.324141,0.149675,1.0547e+75,0.88,0.0272727,0.657692,
