generation,population,x,y,w_mean,prop_of_k,effective_migration,ef0,
0,0,0.592845,0.844266,0.49798,0.832,0.0769231,0.544419,
0,1,0.857946,0.847252,0.508812,0.796,0.0703518,0.382113,
0,2,0.623564,0.384382,0.490354,0.836,0.100478,0.638292,
0,3,0.297535,0.056713,0.521354,0.832,0.0769231,0.588274,
0,4,0.272656,0.477665,-2.31584e+75,0.8,0.115,0.311938,
0,5,0.812169,0.479977,0.378991,0.832,0.0240385,0.448219,
0,6,0.392785,0.836079,0.541331,0.848,0.0943396,0.498376,
0,7,0.337396,0.648172,0.557487,0.824,0.131068,0.419404,
0,8,0.368242,0.957155,0.494837,0.816,0.0490196,0.429147,
0,9,0.140351,0.870087,0.552865,0.828,0.101449,0.249344,
0,10,0.473608,0.800911,0.250288,0.836,0.114833,0.570904,
0,11,0.520477,0.67888,-1.55128e+76,0.836,0.0861244,0.462527,
0,12,0.720633,0.58202,0.476059,0.824,0.131068,0.442209,
0,13,0.537373,0.758616,0.495654,0.836,0.167464,0.545178,
0,14,0.105908,0.4736,2.38826e+152,0.9,0.04,0.132739,
0,15,0.186332,0.736918,0.490073,0.824,0.0825243,0.257032,
0,16,0.21655,0.135218,0.497028,0.84,0.052381,0.484013,
0,17,0.324141,0.149675,0.183618,0.84,0.0761905,0.657692,
0,18,0.222321,0.386489,0.202834,0.8,0.055,0.323892,
0,19,0.902598,0.44995,0.00793358,0.816,0.0441176,0.42682,
20,0,0.592845,0.844266,0.812257,0.836,0.0813397,0.544419,
20,1,0.857946,0.847252,0.790243,0.796,0,0.382113,
20,2,0.623564,0.384382,0.815361,0.832,0.0528846,0.638292,
20,3,0.297535,0.056713,0.754068,0.832,0.0288462,0.588274,
20,4,0.272656,0.477665,0.764896,0.792,0.0808081,0.311938,
20,5,0.812169,0.479977,0.774519,0.832,0.0432692,0.448219,
20,6,0.392785,0.836079,0.774603,0.852,0.0469484,0.498376,
20,7,0.337396,0.648172,0.807998,0.828,0.0821256,0.419404,
20,8,0.368242,0.957155,1.29797e+152,0.828,0.10628,0.429147,
20,9,0.140351,0.870087,0.70391,0.828,0.0531401,0.249344,
20,10,0.473608,0.800911,0.678471,0.852,0.0328638,0.570904,
20,11,0.520477,0.67888,0.699367,0.836,0.062201,0.462527,
20,12,0.720633,0.58202,0.615225,0.82,0.0536585,0.442209,
20,13,0.537373,0.758616,0.614227,0.836,0.062201,0.545178,
20,14,0.105908,0.4736,0.682088,0.912,0.0526316,0.132739,
20,15,0.186332,0.736918,0.721767,0.82,0.0780488,0.257032,
20,16,0.21655,0.135218,0.671219,0.844,0.0331754,0.484013,
20,17,0.324141,0.149675,0.725086,0.848,0.0518868,0.657692,
20,18,0.222321,0.386489,0.731332,0.788,0.0862944,0.323892,
20,19,0.902598,0.44995,0.646467,0.812,0.0246305,0.42682,
40,0,0.592845,0.844266,0.817025,0.844,0.042654,0.544419,
40,1,0.857946,0.847252,0.796216,0.824,0.0631068,0.382113,
40,2,0.623564,0.384382,0.824016,0.864,0.0324074,0.638292,
40,3,0.297535,0.056713,0.806793,0.828,0.0241546,0.588274,
40,4,0.272656,0.477665,0.786756,0.796,0.0552764,0.311938,
40,5,0.812169,0.479977,0.757494,0.856,0.0373832,0.448219,
40,6,0.392785,0.836079,0.776922,0.856,0.0514019,0.498376,
40,7,0.337396,0.648172,0.786907,0.836,0.110048,0.419404,
40,8,0.368242,0.957155,0.711497,0.828,0.0338164,0.429147,
40,9,0.140351,0.870087,-1.11339e+75,0.832,0.100962,0.249344,
40,10,0.473608,0.800911,0.702818,0.836,0.100478,0.570904,
40,11,0.520477,0.67888,0.646972,0.852,0.0985915,0.462527,
40,12,0.720633,0.58202,0.564526,0.848,0.0943396,0.442209,
40,13,0.537373,0.758616,0.691943,0.86,0.0837209,0.545178,
40,14,0.105908,0.4736,-1.18885e+152,0.904,0.0619469,0.132739,
40,15,0.186332,0.736918,0.723666,0.832,0.115385,0.257032,
40,16,0.21655,0.135218,0.682222,0.864,0.0509259,0.484013,
40,17,0.324141,0.149675,0.761104,0.844,0.042654,0.657692,
40,18,0.222321,0.386489,0.714278,0.792,0.0353535,0.323892,
40,19,0.902598,0.44995,0.84378,0.828,0.0289855,0.42682,
60,0,0.592845,0.844266,0.804935,0.844,0.0663507,0.544419,
60,1,0.857946,0.847252,0.81596,0.816,0.0539216,0.382113,
60,2,0.623564,0.384382,0.785907,0.864,0.0138889,0.638292,
60,3,0.297535,0.056713,0.823544,0.844,0.0236967,0.588274,
60,4,0.272656,0.477665,0.758818,0.808,0.128713,0.311938,
60,5,0.812169,0.479977,0.730548,0.84,0.0571429,0.448219,
60,6,0.392785,0.836079,0.764915,0.86,0.0744186,0.498376,
60,7,0.337396,0.648172,0.782464,0.836,0.076555,0.419404,
60,8,0.368242,0.957155,0.785043,0.844,0.07109,0.429147,
60,9,0.140351,0.870087,0.759379,0.828,0.0434783,0.249344,
60,10,0.473608,0.800911,0.718978,0.844,0.109005,0.570904,
60,11,0.520477,0.67888,0.715443,0.86,0.0930233,0.462527,
60,12,0.720633,0.58202,0.71135,0.84,0.0952381,0.442209,
60,13,0.537373,0.758616,0.665102,0.844,0.0663507,0.545178,
60,14,0.105908,0.4736,0.664421,0.904,0.0309735,0.132739,
60,15,0.186332,0.736918,0.70507,0.844,0.0947867,0.257032,
60,16,0.21655,0.135218,0.738976,0.876,0.0273973,0.484013,
60,17,0.324141,0.149675,-1.10278e+75,0.84,0.0571429,0.657692,
60,18,0.222321,0.386489,0.562918,0.808,0.108911,0.323892,
60,19,0.902598,0.44995,0.593935,0.824,0.0242718,0.42682,
80,0,0.592845,0.844266,0.852989,0.852,0.0751174,0.544419,
80,1,0.857946,0.847252,0.78715,0.828,0.0724638,0.382113,
80,2,0.623564,0.384382,0.832387,0.86,0.0697674,0.638292,
80,3,0.297535,0.056713,-1.42059e+229,0.876,0.0593607,0.588274,
80,4,0.272656,0.477665,0.80073,0.816,0.117647,0.311938,
80,5,0.812169,0.479977,0.797005,0.832,0,0.448219,
80,6,0.392785,0.836079,0.794903,0.864,0.0509259,0.498376,
80,7,0.337396,0.648172,0.80272,0.832,0.120192,0.419404,
80,8,0.368242,0.957155,0.74939,0.856,0.102804,0.429147,
80,9,0.140351,0.870087,0.782725,0.848,0.0566038,0.249344,
80,10,0.473608,0.800911,0.73739,0.86,0.0837209,0.570904,
80,11,0.520477,0.67888,0.785917,0.856,0.0700935,0.462527,
80,12,0.720633,0.58202,0.769299,0.844,0.0758294,0.442209,
80,13,0.537373,0.758616,0.720615,0.864,0.101852,0.545178,
80,14,0.105908,0.4736,0.751181,0.904,0,0.132739,
80,15,0.186332,0.736918,0.74458,0.836,0.133971,0.257032,
80,16,0.21655,0.135218,0.687694,0.884,0.00452489,0.484013,
80,17,0.324141,0.149675,0.77342,0.856,0.0747664,0.657692,
80,18,0.222321,0.386489,0.736193,0.816,0.0686275,0.323892,
80,19,0.902598,0.44995,0.688526,0.832,0.0432692,0.42682,
100,0,0.592845,0.844266,0.55252,0.864,0.0648148,0.544419,
100,1,0.857946,0.847252,0.56237,0.828,0.0531401,0.382113,
100,2,0.623564,0.384382,0.554266,0.872,0.0412844,0.638292,
100,3,0.297535,0.056713,0.518929,0.86,0.0186047,0.588274,
100,4,0.272656,0.477665,0.454152,0.816,0.132353,0.311938,
100,5,0.812169,0.479977,0.839307,0.844,0.0236967,0.448219,
100,6,0.392785,0.836079,0.84958,0.872,0.087156,0.498376,
100,7,0.337396,0.648172,-1.09451e+75,0.848,0.108491,0.419404,
100,8,0.368242,0.957155,0.807465,0.852,0.0469484,0.429147,
100,9,0.140351,0.870087,0.726322,0.836,0.062201,0.249344,
100,10,0.473608,0.800911,1.2614e+152,0.852,0.0938967,0.570904,
100,11,0.520477,0.67888,0.646859,0.852,0.0704225,0.462527,
100,12,0.720633,0.58202,0.608558,0.848,0.0801887,0.442209,
