generation,population1,population2,ld,f_st
0,0,1,0.00211308,0.00495191
0,0,2,0.00207712,0.00515371
0,0,3,0.00211155,0.00549837
0,0,4,0.00213678,0.00537796
0,0,5,0.00208731,0.00519396
0,0,6,0.00201389,0.00488442
0,0,7,0.00200838,0.00529154
0,0,8,0.00207676,0.00565396
0,0,9,0.00203036,0.00513117
0,0,10,0.00207185,0.00625211
0,0,11,0.00201092,0.00461132
0,0,12,0.00206912,0.00576863
0,0,13,0.00205771,0.0052189
0,0,14,0.00196028,0.00504948
0,0,15,0.00205561,0.00515178
0,0,16,0.00198702,0.00545545
0,0,17,0.00207482,0.00523413
0,0,18,0.00206756,0.00518292
0,0,19,0.002107,0.0054252
0,1,2,0.00214304,0.00486084
0,1,3,0.00219237,0.0062631
0,1,4,0.00221443,0.00583093
0,1,5,0.00217715,0.00530194
0,1,6,0.00208966,0.00474133
0,1,7,0.00208455,0.00579576
0,1,8,0.00217812,0.005664
0,1,9,0.00211172,0.00506051
0,1,10,0.00210809,0.00583294
0,1,11,0.00212577,0.00510114
0,1,12,0.00213778,0.00477701
0,1,13,0.00212652,0.00538454
0,1,14,0.00203856,0.0054482
0,1,15,0.00211312,0.00511618
0,1,16,0.00210817,0.00632512
0,1,17,0.00217445,0.00509482
0,1,18,0.00214704,0.00571008
0,1,19,0.00218736,0.00578597
0,2,3,0.00214509,0.00553392
0,2,4,0.00218108,0.00524311
0,2,5,0.00212118,0.00513442
0,2,6,0.00204961,0.0050806
0,2,7,0.00208275,0.00499332
0,2,8,0.00213465,0.0053772
0,2,9,0.0021181,0.0050229
0,2,10,0.00211251,0.00578861
0,2,11,0.00208445,0.00551202
0,2,12,0.00210103,0.00512941
0,2,13,0.00208737,0.00481056
0,2,14,0.00198895,0.00468781
0,2,15,0.00210205,0.00498028
0,2,16,0.00208058,0.00592861
0,2,17,0.00213322,0.00444439
0,2,18,0.00213532,0.00489373
0,2,19,0.00213392,0.00522758
0,3,4,0.00220428,0.00490746
0,3,5,0.00213607,0.00584022
0,3,6,0.00208724,0.00588635
0,3,7,0.00209067,0.00506095
0,3,8,0.00214425,0.00615173
0,3,9,0.00215407,0.00604914
0,3,10,0.0021364,0.00614711
0,3,11,0.00211359,0.00525955
0,3,12,0.0021301,0.00590138
0,3,13,0.00210437,0.00573184
0,3,14,0.00203227,0.00525602
0,3,15,0.00212563,0.00562895
0,3,16,0.00209994,0.00621929
0,3,17,0.00214132,0.00588706
0,3,18,0.0021165,0.00554511
0,3,19,0.00214955,0.00560014
0,4,5,0.00218908,0.00562008
0,4,6,0.00213827,0.0043551
0,4,7,0.00209477,0.0046549
0,4,8,0.00220435,0.00502183
0,4,9,0.00214067,0.00525492
0,4,10,0.00215493,0.00569542
0,4,11,0.0020957,0.00527792
0,4,12,0.00216458,0.00539209
