pop1,pop2,dist,resistance_val
0,1,0.265118,0
0,2,0.460909,0
0,3,0.841099,0
0,4,0.486741,0
0,5,0.425217,0
0,6,0.200227,0
0,7,0.322035,0
0,8,0.251377,0
0,9,0.45323,0
0,10,0.126874,0
0,11,0.180526,0
0,12,0.291724,0
0,13,0.102044,0
0,14,0.611964,0
0,15,0.420447,0
0,16,0.802712,0
0,17,0.744754,0
0,18,0.588937,0
0,19,0.50143,0
1,2,0.518829,0
1,3,0.969026,0
1,4,0.692212,0
1,5,0.370116,0
1,6,0.465295,0
1,7,0.557319,0
1,8,0.501885,0
1,9,0.717958,0
1,10,0.387121,0
1,11,0.377139,0
1,12,0.298668,0
1,13,0.3326,0
1,14,0.839748,0
1,15,0.680616,0
1,16,0.958321,0
1,17,0.878385,0
1,18,0.785061,0
1,19,0.399803,0
2,3,0.462236,0
2,4,0.363095,0
2,5,0.211448,0
2,6,0.507237,0
2,7,0.389201,0
2,8,0.627104,0
2,9,0.685131,0
2,10,0.4427,0
2,11,0.312019,0
2,12,0.220189,0
2,13,0.384031,0
2,14,0.525288,0
2,15,0.561652,0
2,16,0.477224,0
2,17,0.380449,0
2,18,0.401248,0
2,19,0.286635,0
3,4,0.421687,0
3,5,0.666334,0
3,6,0.785165,0
3,7,0.592801,0
3,8,0.903214,0
3,9,0.828423,0
3,10,0.764743,0
3,11,0.660904,0
3,12,0.674507,0
3,13,0.741748,0
3,14,0.45882,0
3,15,0.689235,0
3,16,0.11279,0
3,17,0.0966944,0
3,18,0.338244,0
3,19,0.721622,0
4,5,0.539517,0
4,6,0.37801,0
4,7,0.182384,0
4,8,0.488925,0
4,9,0.414125,0
4,10,0.380617,0
4,11,0.319222,0
4,12,0.45997,0
4,13,0.386016,0
4,14,0.166798,0
4,15,0.273247,0
4,16,0.347013,0
4,17,0.332006,0
4,18,0.104147,0
4,19,0.630552,0
5,6,0.550174,0
5,7,0.503685,0
5,8,0.651744,0
5,9,0.776869,0
5,10,0.466499,0
5,11,0.353052,0
5,12,0.137082,0
5,13,0.391346,0
5,14,0.70629,0
5,15,0.676528,0
5,16,0.688201,0
5,17,0.589297,0
5,18,0.59721,0
5,19,0.0952847,0
6,7,0.1959,0
6,8,0.123539,0
6,9,0.254715,0
6,10,0.088143,0
6,11,0.202527,0
6,12,0.414765,0
6,13,0.164032,0
6,14,0.462265,0
6,15,0.229032,0
6,16,0.722678,0
6,17,0.689828,0
6,18,0.480821,0
6,19,0.639535,0
7,8,0.310519,0
7,9,0.296771,0
7,10,0.204653,0
7,11,0.185639,0
7,12,0.388904,0
7,13,0.228448,0
7,14,0.289935,0
7,15,0.175203,0
7,16,0.526996,0
7,17,0.498673,0
7,18,0.285867,0
7,19,0.598954,0
8,9,0.243957,0
8,10,0.188453,0
8,11,0.317196,0
8,12,0.51469,0
8,13,0.260813,0
8,14,0.550131,0
8,15,0.285649,0
8,16,0.835817,0
8,17,0.808684,0
8,18,0.589027,0
8,19,0.736746,0
9,10,0.340361,0
9,11,0.425508,0
9,12,0.64785,0
9,13,0.412375,0
9,14,0.39798,0
9,15,0.140884,0
9,16,0.738809,0
9,17,0.743487,0
9,18,0.490496,0
9,19,0.870366,0
10,11,0.130722,0
10,12,0.330052,0
10,13,0.0765172,0
10,14,0.492276,0
10,15,0.294317,0
10,16,0.7136,0
10,17,0.668168,0
10,18,0.484655,0
10,19,0.554262,0
11,12,0.22236,0
11,13,0.0815065,0
11,14,0.46261,0
11,15,0.339148,0
11,16,0.622848,0
11,17,0.564452,0
11,18,0.417599,0
11,19,0.445449,0
12,13,0.2545,0
12,14,0.624213,0
12,15,0.556301,0
12,16,0.673595,0
12,17,0.586624,0
12,18,0.5353,0
12,19,0.224842,0
13,14,0.517104,0
13,15,0.351711,0
13,16,0.701107,0
13,17,0.645195,0
13,18,0.487582,0
13,19,0.478188,0
14,15,0.275326,0
14,16,0.356012,0
14,17,0.390581,0
14,18,0.145398,0
14,19,0.797042,0
15,16,0.602458,0
15,17,0.603196,0
15,18,0.352272,0
15,19,0.771614,0
16,17,0.108558,0
16,18,0.251337,0
16,19,0.754797,0
17,18,0.257775,0
17,19,0.65175,0
18,19,0.683231,0
