generation,populationA,populationB,ct,prop_of_popB_from_popA
40,8,6,1,0.00462963
40,8,10,1,0.00478469
40,9,8,1,0.00485437
40,9,15,1,0.00478469
40,10,0,1,0.00462963
40,10,6,1,0.00462963
40,10,7,1,0.00471698
40,10,8,1,0.00485437
40,10,11,1,0.00469484
40,10,13,1,0.00465116
40,11,0,1,0.00462963
40,11,6,1,0.00462963
40,11,7,1,0.00471698
40,11,10,1,0.00478469
40,11,12,1,0.0047619
40,11,13,1,0.00465116
40,12,2,1,0.00471698
40,12,5,1,0.00471698
40,12,11,1,0.00469484
40,12,19,1,0.0047619
40,13,0,1,0.00462963
40,13,6,1,0.00462963
40,13,7,1,0.00471698
40,13,10,1,0.00478469
40,13,11,1,0.00469484
40,14,4,1,0.00483092
40,14,15,1,0.00478469
40,14,18,1,0.00465116
40,15,6,1,0.00462963
40,15,7,1,0.00471698
40,15,9,1,0.00469484
40,16,3,1,0.00460829
40,16,17,1,0.00471698
40,17,3,1,0.00460829
40,17,16,1,0.0047619
40,18,4,1,0.00483092
40,18,14,1,0.00436681
40,18,16,1,0.0047619
40,19,5,1,0.00471698
40,19,12,1,0.0047619
60,0,6,1,0.00469484
60,0,8,1,0.00485437
60,0,10,1,0.0047619
60,0,11,1,0.00471698
60,0,13,1,0.00460829
60,2,5,1,0.00471698
60,2,12,1,0.00471698
60,3,16,1,0.0047619
60,3,17,1,0.0046729
60,4,7,1,0.00473934
60,4,14,1,0.00431034
60,4,18,1,0.00458716
60,5,2,1,0.00480769
60,5,12,1,0.00471698
60,5,19,1,0.00478469
60,6,0,1,0.00462963
60,6,7,1,0.00473934
60,6,8,1,0.00485437
60,6,10,1,0.0047619
60,6,11,1,0.00471698
60,6,13,1,0.00460829
60,6,15,1,0.00473934
60,7,4,1,0.00480769
60,7,6,1,0.00469484
60,7,10,1,0.0047619
60,7,11,1,0.00471698
60,7,13,1,0.00460829
60,7,15,1,0.00473934
60,8,6,1,0.00469484
60,8,10,1,0.0047619
60,9,8,1,0.00485437
60,9,15,1,0.00473934
60,10,0,1,0.00462963
60,10,6,1,0.00469484
60,10,7,1,0.00473934
60,10,8,1,0.00485437
60,10,11,1,0.00471698
60,10,13,1,0.00460829
60,11,0,1,0.00462963
60,11,6,1,0.00469484
60,11,7,1,0.00473934
60,11,10,1,0.0047619
60,11,12,1,0.00471698
60,11,13,1,0.00460829
60,12,2,1,0.00480769
60,12,5,1,0.00471698
60,12,11,1,0.00471698
60,12,19,1,0.00478469
60,13,0,1,0.00462963
60,13,6,1,0.00469484
60,13,7,1,0.00473934
60,13,10,1,0.0047619
60,13,11,1,0.00471698
60,13,12,1,0.00471698
60,14,4,1,0.00480769
60,14,15,1,0.00473934
60,14,18,1,0.00458716
60,15,6,1,0.00469484
60,15,7,1,0.00473934
60,15,9,1,0.0046729
60,16,3,1,0.00458716
60,16,17,1,0.0046729
60,17,3,1,0.00458716
60,17,16,1,0.0047619
60,18,4,1,0.00480769
60,18,14,1,0.00431034
60,18,16,1,0.0047619
60,18,17,1,0.0046729
60,19,5,1,0.00471698
60,19,12,1,0.00471698
80,0,6,1,0.0046729
80,0,8,1,0.0046729
80,0,10,1,0.0047619
80,0,11,1,0.0047619
80,0,13,1,0.0046729
80,2,5,1,0.00469484
80,2,12,1,0.00469484
80,3,16,1,0.00485437
80,3,17,1,0.00462963
80,4,7,1,0.00471698
80,4,14,1,0.004329
80,4,18,1,0.00454545
80,5,2,1,0.00478469
80,5,12,1,0.00469484
80,5,19,1,0.00473934
80,6,0,1,0.00462963
80,6,7,1,0.00471698
80,6,8,1,0.0046729
80,6,9,1,0.00469484
80,6,10,1,0.0047619
80,6,11,1,0.0047619
80,6,13,1,0.0046729
80,6,15,1,0.00478469
80,7,4,1,0.00473934
80,7,6,1,0.0046729
80,7,10,1,0.0047619
80,7,11,1,0.0047619
80,7,13,1,0.0046729
80,7,15,1,0.00478469
80,8,0,1,0.00462963
80,8,6,1,0.0046729
80,8,9,1,0.00469484
80,8,10,1,0.0047619
80,9,8,1,0.0046729
80,9,15,1,0.00478469
80,10,0,1,0.00462963
80,10,6,1,0.0046729
80,10,7,1,0.00471698
80,10,8,1,0.0046729
80,10,11,1,0.0047619
80,10,13,1,0.0046729
80,11,0,1,0.00462963
80,11,6,1,0.0046729
80,11,7,1,0.00471698
80,11,10,1,0.0047619
80,11,12,1,0.00469484
80,11,13,1,0.0046729
80,12,2,1,0.00478469
80,12,5,1,0.00469484
80,12,11,1,0.0047619
80,12,19,1,0.00473934
80,13,0,1,0.00462963
80,13,6,1,0.0046729
80,13,7,1,0.00471698
80,13,10,1,0.0047619
80,13,11,1,0.0047619
80,14,4,1,0.00473934
80,14,15,1,0.00478469
80,14,18,1,0.00454545
80,15,6,1,0.0046729
80,15,7,1,0.00471698
80,15,9,1,0.00469484
80,16,3,1,0.00452489
80,16,17,1,0.00462963
80,17,3,1,0.00452489
80,17,16,1,0.00485437
80,17,18,1,0.00454545
80,18,4,1,0.00473934
80,18,14,1,0.004329
80,18,16,1,0.00485437
80,18,17,1,0.00462963
80,19,5,1,0.00469484
80,19,12,1,0.00469484
100,0,6,1,0.00473934
100,0,8,1,0.00469484
100,0,10,1,0.0046729
100,0,11,1,0.00469484
100,0,13,1,0.00465116
100,2,5,1,0.00471698
100,2,12,1,0.00465116
100,3,16,1,0.0047619
100,3,17,1,0.00469484
100,4,7,1,0.00469484
100,4,14,1,0.004329
