generation,population,x,y,w_mean,prop_of_k,effective_migration,ef0,
80,9,0.140351,0.870087,0.613163,0.852,0,0.249344,
80,10,0.473608,0.800911,0.487949,0.84,0.0666667,0.570904,
80,11,0.520477,0.67888,0.527847,0.84,0.0666667,0.462527,
80,12,0.720633,0.58202,0.528356,0.852,0.0234742,0.442209,
80,13,0.537373,0.758616,0.545977,0.856,0.0700935,0.545178,
80,14,0.105908,0.4736,0.567004,0.924,0.025974,0.132739,
80,15,0.186332,0.736918,0.46977,0.836,0.0430622,0.257032,
80,16,0.21655,0.135218,-1.30426e+152,0.824,0.00970874,0.484013,
80,17,0.324141,0.149675,2.88063e+229,0.864,0.0138889,0.657692,
80,18,0.222321,0.386489,0.737196,0.88,0.0590909,0.323892,
80,19,0.902598,0.44995,1.47445e+229,0.844,0.0189573,0.42682,
100,0,0.592845,0.844266,0.578021,0.872,0.0366972,0.544419,
100,1,0.857946,0.847252,0.548853,0.772,0,0.382113,
100,2,0.623564,0.384382,0.677807,0.828,0.0241546,0.638292,
100,3,0.297535,0.056713,1.42059e+229,0.876,0.0365297,0.588274,
100,4,0.272656,0.477665,0.579979,0.856,0.0140187,0.311938,
100,5,0.812169,0.479977,1.09451e+75,0.848,0.00943396,0.448219,
100,6,0.392785,0.836079,0.486355,0.844,0.07109,0.498376,
100,7,0.337396,0.648172,1.4606e+229,0.852,0.0657277,0.419404,
100,8,0.368242,0.957155,0.567652,0.852,0.0234742,0.429147,
100,9,0.140351,0.870087,0.525693,0.856,0.0046729,0.249344,
100,10,0.473608,0.800911,0.507043,0.856,0.046729,0.570904,
100,11,0.520477,0.67888,0.527039,0.852,0.028169,0.462527,
100,12,0.720633,0.58202,0.471683,0.86,0.0697674,0.442209,
100,13,0.537373,0.758616,0.62031,0.86,0.0325581,0.545178,
100,14,0.105908,0.4736,-1.16311e+152,0.924,0.025974,0.132739,
100,15,0.186332,0.736918,0.628455,0.844,0.0189573,0.257032,
100,16,0.21655,0.135218,0.580302,0.84,0.0190476,0.484013,
100,17,0.324141,0.149675,0.633962,0.852,0.0375587,0.657692,
100,18,0.222321,0.386489,-1.43368e+229,0.868,0.0276498,0.323892,
100,19,0.902598,0.44995,0.566924,0.84,0.00952381,0.42682,
120,0,0.592845,0.844266,0.67426,0.88,0.0454545,0.544419,
120,1,0.857946,0.847252,0.530747,0.812,0,0.382113,
120,2,0.623564,0.384382,0.540963,0.832,0.0384615,0.638292,
120,3,0.297535,0.056713,0.574576,0.876,0.0228311,0.588274,
120,4,0.272656,0.477665,2.43148e+152,0.884,0.0271493,0.311938,
120,5,0.812169,0.479977,0.660814,0.848,0.0471698,0.448219,
120,6,0.392785,0.836079,0.564431,0.844,0.0331754,0.498376,
120,7,0.337396,0.648172,-1.08937e+75,0.852,0.0610329,0.419404,
120,8,0.368242,0.957155,0.572544,0.856,0.0607477,0.429147,
120,9,0.140351,0.870087,0.470271,0.852,0.0375587,0.249344,
120,10,0.473608,0.800911,0.55889,0.872,0.0688073,0.570904,
120,11,0.520477,0.67888,0.567341,0.86,0.0651163,0.462527,
120,12,0.720633,0.58202,0.604049,0.86,0.055814,0.442209,
120,13,0.537373,0.758616,0.684868,0.856,0.0654206,0.545178,
120,14,0.105908,0.4736,-1.16817e+152,0.92,0.0173913,0.132739,
120,15,0.186332,0.736918,0.603225,0.848,0.0188679,0.257032,
120,16,0.21655,0.135218,0.678534,0.84,0.0380952,0.484013,
120,17,0.324141,0.149675,0.494149,0.848,0.0235849,0.657692,
120,18,0.222321,0.386489,0.65529,0.876,0.0136986,0.323892,
120,19,0.902598,0.44995,0.674529,0.844,0.0331754,0.42682,
140,0,0.592845,0.844266,0.538278,0.884,0.0135747,0.544419,
140,1,0.857946,0.847252,0.550092,0.804,0,0.382113,
140,2,0.623564,0.384382,0.597649,0.852,0.0187793,0.638292,
140,3,0.297535,0.056713,0.548788,0.876,0.0319635,0.588274,
140,4,0.272656,0.477665,0.686103,0.872,0.0366972,0.311938,
140,5,0.812169,0.479977,0.601664,0.86,0.0186047,0.448219,
140,6,0.392785,0.836079,0.590747,0.864,0.0694444,0.498376,
140,7,0.337396,0.648172,0.533402,0.852,0.0892019,0.419404,
140,8,0.368242,0.957155,0.507935,0.848,0.00943396,0.429147,
140,9,0.140351,0.870087,0.553551,0.86,0.0372093,0.249344,
140,10,0.473608,0.800911,0.50062,0.852,0.0422535,0.570904,
140,11,0.520477,0.67888,0.572028,0.872,0.0642202,0.462527,
140,12,0.720633,0.58202,1.23247e+152,0.872,0.0504587,0.442209,
140,13,0.537373,0.758616,3.2681e+75,0.852,0.0375587,0.545178,
140,14,0.105908,0.4736,0.705899,0.944,0,0.132739,
140,15,0.186332,0.736918,0.673836,0.852,0.0516432,0.257032,
140,16,0.21655,0.135218,0.569355,0.86,0.055814,0.484013,
140,17,0.324141,0.149675,0.601246,0.848,0.0188679,0.657692,
140,18,0.222321,0.386489,-1.43368e+229,0.868,0.0322581,0.323892,
140,19,0.902598,0.44995,0.503757,0.868,0.00460829,0.42682,
160,0,0.592845,0.844266,0.486339,0.884,0.00904977,0.544419,
160,1,0.857946,0.847252,0.878495,0.796,0,0.382113,
160,2,0.623564,0.384382,0.6413,0.872,0.0550459,0.638292,
160,3,0.297535,0.056713,0.425337,0.884,0.00904977,0.588274,
160,4,0.272656,0.477665,0.464739,0.872,0.0321101,0.311938,
160,5,0.812169,0.479977,1.45378e+229,0.856,0.0373832,0.448219,
160,6,0.392785,0.836079,0.636237,0.872,0.0458716,0.498376,
160,7,0.337396,0.648172,0.571307,0.848,0.0990566,0.419404,
160,8,0.368242,0.957155,0.677184,0.836,0.0574163,0.429147,
160,9,0.140351,0.870087,0.477565,0.86,0.055814,0.249344,
160,10,0.473608,0.800911,0.543426,0.864,0.0694444,0.570904,
160,11,0.520477,0.67888,1.06438e+75,0.872,0.0137615,0.462527,
160,12,0.720633,0.58202,0.534935,0.86,0.055814,0.442209,
160,13,0.537373,0.758616,0.502219,0.876,0.0410959,0.545178,
160,14,0.105908,0.4736,0.670806,0.936,0,0.132739,
160,15,0.186332,0.736918,0.753339,0.848,0.00943396,0.257032,
160,16,0.21655,0.135218,-2.10941e+75,0.88,0.0590909,0.484013,
160,17,0.324141,0.149675,0.582401,0.852,0,0.657692,
160,18,0.222321,0.386489,0.436466,0.868,0.0230415,0.323892,
160,19,0.902598,0.44995,-2.45368e+152,0.876,0,0.42682,
180,0,0.592845,0.844266,0.477237,0.888,0.0315315,0.544419,
180,1,0.857946,0.847252,0.516627,0.816,0,0.382113,
180,2,0.623564,0.384382,2.41404e+139,0.884,0.0180995,0.638292,
180,3,0.297535,0.056713,-8.4338e+152,0.892,0,0.588274,
180,4,0.272656,0.477665,0.535026,0.86,0.0325581,0.311938,
180,5,0.812169,0.479977,0.626447,0.868,0.0184332,0.448219,
180,6,0.392785,0.836079,5.13534e+300,0.868,0.0737327,0.498376,
180,7,0.337396,0.648172,2.89403e+229,0.86,0.0232558,0.419404,
180,8,0.368242,0.957155,-1.11555e+75,0.832,0.0721154,0.429147,
180,9,0.140351,0.870087,-1.21026e+152,0.888,0,0.249344,
180,10,0.473608,0.800911,1.4271e+229,0.872,0.0229358,0.570904,
180,11,0.520477,0.67888,-1.4271e+229,0.872,0.0550459,0.462527,
180,12,0.720633,0.58202,0.707643,0.86,0.0651163,0.442209,
180,13,0.537373,0.758616,0.729513,0.88,0.0590909,0.545178,
180,14,0.105908,0.4736,0.562056,0.944,0.0169492,0.132739,
180,15,0.186332,0.736918,0.661821,0.852,0.0140845,0.257032,
180,16,0.21655,0.135218,1.21574e+152,0.884,0,0.484013,
180,17,0.324141,0.149675,0.470435,0.852,0.0469484,0.657692,
180,18,0.222321,0.386489,0.567156,0.876,0.0547945,0.323892,
180,19,0.902598,0.44995,0.552585,0.872,0.0137615,0.42682,
200,0,0.592845,0.844266,0.507477,0.888,0.0540541,0.544419,
200,1,0.857946,0.847252,0.70613,0.812,0.0246305,0.382113,
200,2,0.623564,0.384382,0.512554,0.88,0.00454545,0.638292,
200,3,0.297535,0.056713,0.587271,0.888,0.0135135,0.588274,
200,4,0.272656,0.477665,-4.24238e+229,0.88,0.0545455,0.311938,
200,5,0.812169,0.479977,-1.41413e+229,0.88,0.0227273,0.448219,
200,6,0.392785,0.836079,0.570952,0.872,0.0917431,0.498376,
200,7,0.337396,0.648172,0.609104,0.844,0.042654,0.419404,
200,8,0.368242,0.957155,0.592737,0.848,0.0330189,0.429147,
200,9,0.140351,0.870087,1.19946e+152,0.896,0.0401786,0.249344,
200,10,0.473608,0.800911,0.674691,0.884,0.0361991,0.570904,
200,11,0.520477,0.67888,0.519919,0.872,0.0504587,0.462527,
200,12,0.720633,0.58202,0.572301,0.868,0.0368664,0.442209,
200,13,0.537373,0.758616,0.693023,0.868,0.0599078,0.545178,
200,14,0.105908,0.4736,0.653971,0.94,0.0382979,0.132739,
200,15,0.186332,0.736918,0.634388,0.856,0.0654206,0.257032,
200,16,0.21655,0.135218,0.615477,0.896,0.0401786,0.484013,
200,17,0.324141,0.149675,0.914865,0.864,0.037037,0.657692,
200,18,0.222321,0.386489,0.557359,0.888,0.0045045,0.323892,
200,19,0.902598,0.44995,0.634839,0.888,0.0225225,0.42682,
220,0,0.592845,0.844266,0.667474,0.888,0.0315315,0.544419,
220,1,0.857946,0.847252,0.59709,0.816,0.00980392,0.382113,
220,2,0.623564,0.384382,0.556897,0.896,0.00446429,0.638292,
220,3,0.297535,0.056713,0.417276,0.884,0.0226244,0.588274,
220,4,0.272656,0.477665,0.468645,0.872,0.0183486,0.311938,
220,5,0.812169,0.479977,0.603957,0.888,0.036036,0.448219,
220,6,0.392785,0.836079,-1.22684e+152,0.876,0.0365297,0.498376,
220,7,0.337396,0.648172,0.59243,0.86,0.0418605,0.419404,
220,8,0.368242,0.957155,0.602828,0.864,0.037037,0.429147,
220,9,0.140351,0.870087,0.660408,0.9,0.0266667,0.249344,
220,10,0.473608,0.800911,2.81546e+229,0.884,0.0588235,0.570904,
220,11,0.520477,0.67888,0.516517,0.884,0.0271493,0.462527,
220,12,0.720633,0.58202,1.40773e+229,0.884,0.0588235,0.442209,
220,13,0.537373,0.758616,0.656552,0.872,0.0550459,0.545178,
220,14,0.105908,0.4736,0.523482,0.944,0.0254237,0.132739,
220,15,0.186332,0.736918,0.54022,0.864,0.0185185,0.257032,
220,16,0.21655,0.135218,-1.02218e+75,0.908,0.0132159,0.484013,
220,17,0.324141,0.149675,4.99867e+152,0.86,0.0186047,0.657692,
220,18,0.222321,0.386489,1.07923e+75,0.86,0.0232558,0.323892,
220,19,0.902598,0.44995,0.592872,0.888,0.0495495,0.42682,
240,0,0.592845,0.844266,-1.03587e+75,0.896,0.03125,0.544419,
240,1,0.857946,0.847252,0.37141,0.812,0,0.382113,
240,2,0.623564,0.384382,0.726794,0.9,0.00888889,0.638292,
240,3,0.297535,0.056713,0.49692,0.896,0.03125,0.588274,
240,4,0.272656,0.477665,0.512562,0.884,0.0452489,0.311938,
240,5,0.812169,0.479977,0.5621,0.892,0.0358744,0.448219,
240,6,0.392785,0.836079,0.641375,0.876,0.0456621,0.498376,
240,7,0.337396,0.648172,0.530585,0.86,0.0511628,0.419404,
240,8,0.368242,0.957155,1.45378e+229,0.856,0.0186916,0.429147,
240,9,0.140351,0.870087,1.19413e+152,0.9,0.00888889,0.249344,
240,10,0.473608,0.800911,0.608121,0.88,0.0318182,0.570904,
240,11,0.520477,0.67888,0.554102,0.896,0.0178571,0.462527,
240,12,0.720633,0.58202,0.51595,0.88,0.0181818,0.442209,
240,13,0.537373,0.758616,0.627205,0.884,0.081448,0.545178,
240,14,0.105908,0.4736,0.531817,0.936,0.042735,0.132739,
240,15,0.186332,0.736918,0.470947,0.868,0.0460829,0.257032,
240,16,0.21655,0.135218,0.53044,0.896,0.00446429,0.484013,
240,17,0.324141,0.149675,0.625143,0.848,0.0141509,0.657692,
240,18,0.222321,0.386489,0.577048,0.868,0.0230415,0.323892,
240,19,0.902598,0.44995,0.68765,0.896,0.0267857,0.42682,
260,0,0.592845,0.844266,1.19946e+152,0.896,0.0357143,0.544419,
260,1,0.857946,0.847252,0.811443,0.832,0.00480769,0.382113,
260,2,0.623564,0.384382,0.820953,0.904,0.00442478,0.638292,
260,3,0.297535,0.056713,0.621241,0.876,0.0136986,0.588274,
260,4,0.272656,0.477665,0.603738,0.876,0.0410959,0.311938,
260,5,0.812169,0.479977,0.586494,0.904,0.0132743,0.448219,
260,6,0.392785,0.836079,0.571308,0.876,0.0730594,0.498376,
260,7,0.337396,0.648172,0.559188,0.88,0.0318182,0.419404,
260,8,0.368242,0.957155,0.510456,0.86,0.0372093,0.429147,
