generation,population1,population2,ld,f_st
0,11,12,0.00209871,0.00602203
0,11,13,0.00204547,0.00510506
0,11,14,0.0019911,0.00538913
0,11,15,0.00200411,0.00521849
0,11,16,0.0020428,0.0054246
0,11,17,0.00196453,0.00485471
0,11,18,0.00214355,0.00567814
0,11,19,0.00212404,0.00544628
0,12,13,0.00216458,0.00553266
0,12,14,0.00206192,0.00551881
0,12,15,0.00211938,0.00571313
0,12,16,0.00213254,0.00580333
0,12,17,0.00207763,0.00563503
0,12,18,0.00224606,0.0059576
0,12,19,0.00222101,0.00564082
0,13,14,0.00202302,0.00476047
0,13,15,0.00202988,0.00514032
0,13,16,0.00208889,0.00471914
0,13,17,0.0019992,0.00504518
0,13,18,0.00219105,0.00558323
0,13,19,0.0021654,0.00561799
0,14,15,0.00197251,0.0047358
0,14,16,0.00200223,0.00569855
0,14,17,0.00195504,0.00503925
0,14,18,0.00210325,0.00551283
0,14,19,0.00208812,0.00535603
0,15,16,0.00206256,0.00505731
0,15,17,0.00195175,0.00470213
0,15,18,0.0021376,0.00556768
0,15,19,0.00211428,0.00503689
0,16,17,0.00201053,0.00543618
0,16,18,0.00218205,0.00623775
0,16,19,0.00216774,0.00476526
0,17,18,0.00211736,0.00555311
0,17,19,0.00207204,0.00514779
0,18,19,0.00224341,0.00605888
100,0,1,0.0138816,0.159258
100,0,2,0.00731678,0.101668
100,0,3,0.00824761,0.113828
100,0,4,0.00711823,0.0948015
100,0,5,0.00698336,0.100312
100,0,6,0.00491984,0.0515235
100,0,7,0.00447718,0.0504306
100,0,8,0.00536599,0.0615926
100,0,9,0.00742637,0.103678
100,0,10,0.00454152,0.0469166
100,0,11,0.00487528,0.0523238
100,0,12,0.00554703,0.0744092
100,0,13,0.00467455,0.0493574
100,0,14,0.00769907,0.109208
100,0,15,0.0058206,0.0842553
100,0,16,0.00773453,0.111728
100,0,17,0.00706339,0.106172
100,0,18,0.0073925,0.105838
100,0,19,0.00753222,0.107261
100,1,2,0.0165436,0.170745
100,1,3,0.014259,0.159002
100,1,4,0.0152684,0.168832
100,1,5,0.0164763,0.17366
100,1,6,0.0135496,0.150925
100,1,7,0.012884,0.146534
100,1,8,0.0146768,0.1584
100,1,9,0.0143455,0.152026
100,1,10,0.0151368,0.166265
100,1,11,0.0145917,0.163781
100,1,12,0.0139987,0.156251
100,1,13,0.0139883,0.159119
100,1,14,0.0124407,0.147071
100,1,15,0.0137956,0.153505
100,1,16,0.0137705,0.152978
100,1,17,0.0135986,0.153864
100,1,18,0.0167126,0.183988
100,1,19,0.0161081,0.172513
100,2,3,0.0104366,0.133855
100,2,4,0.0108989,0.139323
100,2,5,0.00611631,0.073573
100,2,6,0.0075741,0.102379
100,2,7,0.00738229,0.102666
100,2,8,0.00787771,0.108317
100,2,9,0.00991951,0.129098
100,2,10,0.00687755,0.0954979
100,2,11,0.00705694,0.0954131
100,2,12,0.00553174,0.0584421
100,2,13,0.00708814,0.0970628
100,2,14,0.00987024,0.131301
100,2,15,0.00777639,0.111274
100,2,16,0.00863421,0.118521
100,2,17,0.0087712,0.122507
100,2,18,0.0114539,0.146392
100,2,19,0.00820991,0.109636
100,3,4,0.0103591,0.129144
100,3,5,0.00871286,0.109664
100,3,6,0.00781293,0.107304
100,3,7,0.00722316,0.0957386
100,3,8,0.00810423,0.111584
100,3,9,0.00940535,0.121195
100,3,10,0.00841935,0.114562
100,3,11,0.00781499,0.105044
100,3,12,0.00802603,0.105349
100,3,13,0.0082406,0.108894
100,3,14,0.00784078,0.108308
100,3,15,0.00796299,0.109666
100,3,16,0.00560781,0.0634662
100,3,17,0.00541687,0.0630321
100,3,18,0.00925091,0.122196
