generation,population,prop_loci_fixed,mean_alleles_per_locus
0,0,4,4.85
0,1,4,4.85
0,2,4,4.85
0,3,4,4.85
0,4,4,4.85
0,5,4,4.85
0,6,4,4.85
0,7,4,4.85
0,8,4,4.85
0,9,4,4.85
0,10,4,4.85
0,11,4,4.85
0,12,4,4.85
0,13,4,4.85
0,14,4,4.85
0,15,4,4.85
0,16,4,4.85
0,17,4,4.85
0,18,4,4.85
0,19,4,4.85
100,0,4,4.83333
100,1,4,3.05
100,2,4,4.41667
100,3,4,4.31667
100,4,4,4.48333
100,5,4,4.56667
100,6,4,4.81667
100,7,4,4.81667
100,8,4,4.68333
100,9,4,4.5
100,10,4,4.83333
100,11,4,4.8
100,12,4,4.7
100,13,4,4.76667
100,14,4,4.38333
100,15,4,4.73333
100,16,4,4.5
100,17,4,4.61667
100,18,4,4.4
100,19,4,4.48333
200,0,4,4.58333
200,1,5,3.33333
200,2,4,4.3
200,3,4,4.03333
200,4,4,4.31667
200,5,4,4.28333
200,6,4,4.7
200,7,4,4.75
200,8,4,4.58333
200,9,4,4.45
200,10,4,4.68333
200,11,4,4.63333
200,12,4,4.58333
200,13,4,4.71667
200,14,4,3.96667
200,15,4,4.66667
200,16,4,4.41667
200,17,4,4.4
200,18,4,4.18333
200,19,4,4.08333
300,0,4,4.58333
300,1,5,3.35
300,2,4,3.76667
300,3,4,3.86667
300,4,4,4.11667
300,5,4,3.86667
300,6,4,4.68333
300,7,4,4.55
300,8,4,4.55
300,9,4,4.48333
300,10,4,4.63333
300,11,3,4.75
300,12,4,4.46667
300,13,4,4.71667
300,14,4,3.76667
300,15,4,4.55
300,16,4,3.95
300,17,4,3.95
300,18,4,4.05
300,19,4,3.88333
400,0,4,4.41667
400,1,13,2.31667
400,2,4,3.5
400,3,4,3.41667
400,4,4,4.3
400,5,4,3.7
400,6,4,4.53333
400,7,4,4.53333
400,8,4,4.31667
400,9,4,4.21667
400,10,4,4.55
400,11,4,4.48333
400,12,4,4.33333
400,13,4,4.55
400,14,4,3.66667
400,15,4,4.4
400,16,4,3.71667
400,17,4,3.81667
400,18,4,4.1
400,19,5,3.7
500,0,4,4.43333
500,1,4,3.6
500,2,4,3.45
500,3,5,3.46667
500,4,4,4.16667
500,5,4,3.61667
500,6,4,4.46667
500,7,4,4.45
500,8,4,4.4
500,9,4,4.21667
500,10,4,4.43333
500,11,4,4.46667
500,12,4,4.16667
500,13,4,4.45
500,14,4,3.5
500,15,4,4.4
500,16,4,3.71667
500,17,4,3.58333
500,18,4,3.91667
500,19,5,3.61667
600,0,4,4.13333
600,1,5,3.65
600,2,5,3.43333
600,3,4,3.26667
600,4,4,4.16667
600,5,5,3.56667
600,6,4,4.46667
600,7,4,4.45
600,8,4,4.26667
600,9,4,4.08333
600,10,4,4.21667
600,11,4,4.41667
600,12,4,4.16667
600,13,4,4.41667
600,14,4,3.63333
600,15,4,4.31667
600,16,4,3.58333
600,17,4,3.51667
600,18,4,3.73333
600,19,4,3.56667
700,0,5,4
700,1,6,3.45
700,2,6,3.25
700,3,5,3.18333
700,4,4,3.8
700,5,5,3.21667
700,6,4,4.2
700,7,4,4.18333
700,8,5,4.1
700,9,4,4.05
700,10,5,4.13333
700,11,4,4
700,12,5,3.96667
700,13,4,4.15
700,14,4,3.25
700,15,4,4.05
700,16,5,3.38333
700,17,5,3.31667
700,18,4,3.5
700,19,5,3.43333
800,0,4,3.88333
800,1,5,3.4
800,2,6,3.16667
800,3,7,2.96667
800,4,4,3.56667
800,5,6,3.28333
800,6,4,4.08333
800,7,4,3.96667
800,8,4,3.83333
800,9,5,3.86667
800,10,4,3.91667
800,11,5,3.98333
800,12,5,3.85
800,13,4,3.91667
800,14,3,3.2
800,15,4,4.06667
800,16,5,3.18333
800,17,6,3.05
800,18,4,3.43333
800,19,6,3.08333
900,0,5,3.98333
900,1,6,3.1
900,2,6,3.25
900,3,5,3.11667
900,4,5,3.7
900,5,5,3.31667
900,6,4,3.93333
900,7,5,3.9
900,8,4,3.9
900,9,5,3.76667
900,10,4,3.91667
900,11,4,3.95
900,12,5,3.71667
900,13,4,4.01667
900,14,6,3.13333
900,15,5,3.76667
900,16,5,3.13333
900,17,6,3.06667
900,18,4,3.25
900,19,7,3.21667
1000,0,5,3.76667
1000,1,7,3.11667
1000,2,4,3.15
1000,3,8,2.96667
1000,4,4,3.55
1000,5,5,3.1
1000,6,5,3.76667
1000,7,4,3.86667
1000,8,5,3.76667
1000,9,4,3.66667
1000,10,5,3.85
1000,11,4,3.9
1000,12,4,3.61667
1000,13,4,3.83333
1000,14,5,3.15
1000,15,4,3.76667
1000,16,7,3.23333
1000,17,7,3.08333
1000,18,5,3.43333
1000,19,5,2.85
1100,0,5,3.71667
1100,1,6,2.83333
1100,2,4,3.18333
1100,3,7,2.9
1100,4,5,3.5
1100,5,4,3.16667
1100,6,4,3.78333
1100,7,5,3.85
1100,8,4,3.71667
1100,9,4,3.5
1100,10,5,3.68333
1100,11,4,3.86667
1100,12,4,3.66667
1100,13,4,3.76667
1100,14,5,3.46667
1100,15,4,3.71667
1100,16,6,3.31667
1100,17,5,3.26667
1100,18,5,3.66667
1100,19,6,3.2
1200,0,4,3.61667
1200,1,6,3.06667
1200,2,6,2.96667
1200,3,7,2.8
1200,4,5,3.55
1200,5,7,2.85
1200,6,4,3.73333
1200,7,5,3.7
1200,8,4,3.53333
1200,9,5,3.45
1200,10,5,3.6
1200,11,4,3.51667
1200,12,5,3.4
